name,id,voted,votes,percent,active
"Marco AFFRONTE",124797,282,285,98.95,True
"John Stuart AGNEW",96897,282,285,98.95,True
"Georges BACH",97293,282,285,98.95,True
"Bas BELDER",4507,282,285,98.95,True
"Brando BENIFEI",124867,282,285,98.95,True
"Vilija BLINKEVIČIŪTĖ",96681,282,285,98.95,True
"Nicola CAPUTO",124851,282,285,98.95,True
"Ole CHRISTENSEN",28154,282,285,98.95,True
"Seb DANCE",124952,282,285,98.95,True
"Isabella DE MONTE",124803,282,285,98.95,True
"Jørn DOHRMANN",124878,282,285,98.95,True
"José Inácio FARIA",125101,282,285,98.95,True
"Markus FERBER",1917,282,285,98.95,True
"Lorenzo FONTANA",96993,282,285,98.95,True
"Ashley FOX",96957,282,285,98.95,True
"Jens GIESEKE",124807,282,285,98.95,True
"Françoise GROSSETÊTE",2025,282,285,98.95,True
"Ildikó GÁLL-PELCZ",102886,282,285,98.95,True
"Othmar KARAS",4246,282,285,98.95,True
"Tunne KELAM",28424,282,285,98.95,True
"Seán KELLY",96668,282,285,98.95,True
"Jude KIRTON-DARLING",124953,282,285,98.95,True
"Elisabeth KÖSTINGER",96882,282,285,98.95,True
"Norbert LINS",124808,282,285,98.95,True
"Thomas MANN",1922,282,285,98.95,True
"David MARTIN",1403,282,285,98.95,True
"Marisa MATIAS",96820,282,285,98.95,True
"Vladimír MAŇKA",28192,282,285,98.95,True
"Jiří MAŠTÁLKA",23704,282,285,98.95,True
"Clare MOODY",124944,282,285,98.95,True
"Maria NOICHL",124836,282,285,98.95,True
"Patrick O'FLYNN",124940,282,285,98.95,True
"Cristian Dan PREDA",96838,282,285,98.95,True
"Marcus PRETZELL",124830,282,285,98.95,True
"Massimiliano SALINI",125670,282,285,98.95,True
"Anne SANDER",24594,282,285,98.95,True
"Claudia SCHMIDT",125016,282,285,98.95,True
"György SCHÖPFLIN",28135,282,285,98.95,True
"Olga SEHNALOVÁ",96718,282,285,98.95,True
"Siôn SIMON",124948,282,285,98.95,True
"Theodor Dumitru STOLOJAN",39721,282,285,98.95,True
"Sampo TERHO",107385,282,285,98.95,True
"Isabelle THOMAS",114279,282,285,98.95,True
"Vladimir URUTCHEV",38601,282,285,98.95,True
"Jarosław WAŁĘSA",96774,282,285,98.95,True
"Bogdan Brunon WENTA",124903,282,285,98.95,True
"Marcel de GRAAFF",125025,282,285,98.95,True
"Peter van DALEN",96809,282,285,98.95,True
"Francisco SOSA WAGNER",97170,81,82,98.78,False
"Laura AGEA",124811,281,285,98.60,True
"Daniela AIUTO",124842,281,285,98.60,True
"Lucy ANDERSON",124949,281,285,98.60,True
"Tiziana BEGHIN",124777,281,285,98.60,True
"Mara BIZZOTTO",97198,281,285,98.60,True
"Andrea BOCSKOR",124712,281,285,98.60,True
"Alain CADEC",96849,281,285,98.60,True
"Fabio Massimo CASTALDO",124812,281,285,98.60,True
"Carlos COELHO",1892,281,285,98.60,True
"Therese COMODINI CACHIA",124968,281,285,98.60,True
"Pál CSÁKY",124930,281,285,98.60,True
"Philippe DE BACKER",109337,281,285,98.60,True
"Angélique DELAHAYE",124732,281,285,98.60,True
"Andor DELI",124714,281,285,98.60,True
"Herbert DORFMANN",96787,281,285,98.60,True
"Pascal DURAND",124693,281,285,98.60,True
"José Manuel FERNANDES",96899,281,285,98.60,True
"Jonás FERNÁNDEZ",125046,281,285,98.60,True
"Francesc GAMBÚS",125006,281,285,98.60,True
"Lidia Joanna GERINGER de OEDENBERG",28377,281,285,98.60,True
"Michela GIUFFRIDA",124864,281,285,98.60,True
"Theresa GRIFFIN",124961,281,285,98.60,True
"Robert Jarosław IWASZKIEWICZ",124886,281,285,98.60,True
"Zbigniew KUŹMIUK",28389,281,285,98.60,True
"Jean LAMBERT",4531,281,285,98.60,True
"Jérôme LAVRILLEUX",124731,281,285,98.60,True
"Constance LE GRIP",101580,281,285,98.60,True
"Andrew LEWER",124943,281,285,98.60,True
"Peter LUNDGREN",124996,281,285,98.60,True
"Andrejs MAMIKINS",124746,281,285,98.60,True
"Michał MARUSIK",124894,281,285,98.60,True
"Iskra MIHAYLOVA",125128,281,285,98.60,True
"Marlene MIZZI",118858,281,285,98.60,True
"Sorin MOISĂ",124789,281,285,98.60,True
"Sophie MONTEL",124769,281,285,98.60,True
"Alessia Maria MOSCA",124868,281,285,98.60,True
"Emma McCLARKIN",96919,281,285,98.60,True
"Norbert NEUSER",96844,281,285,98.60,True
"Norica NICOLAI",96825,281,285,98.60,True
