CargoNombre,Nombre,Partido,ID,Grado
Presidenta de la Republica,Michelle Bachelet Jeria,PS,33981,A
Ministro,Adriana Delpiano Puelma,PPD,24623,B
Ministro,Alberto Undurraga Vicuña,PDC,57714,B
Ministro,Alejandra Krauss Valle,PDC,37628,B
Ministro,Andrés Rebolledo Smitmans,PPD,2732,B
Ministro,Aurora Elvira Williams Baussa,PRSD,114213,B
Ministro,Carlos Guillermo Furche Guajardo,PS,114040,B
Ministro,Carmen Castillo Taucher,ind.,28174,B
Ministro,Claudia Pascual Grau,PCCh,15,B
Ministro,Ernesto Renato Ottone Ramírez,ind.,111739,B
Ministro,Heraldo Muñoz Valenzuela,PPD,38328,B
Ministro,Jaime Campos Quiroga,PRSD,2745,B
Ministro,José Antonio Gómez Urrutia,PRSD,54233,B
Ministro,Luis Felipe Céspedes Cifuentes,PDC,23989,B
Ministro,Marcelo Mena Carrasco,ind.,113079,B
Ministro,Marcos Barraza Gómez,PCCh,113925,B
Ministro,Mario Fernandez Baeza,PDC,14164,B
Ministro,Nicolás Eyzaguirre Guzmán,PPD,19143,B
Ministro,Nivia Palma Manríquez,IC,23461,B
Ministro,Pablo Squella Serrano,ind.,27916,B
Ministro,Paola Tapia Salas,ind.,95441,B
Ministro,Paula Narváez Ojeda,PS,24908,B
Ministro,Paulina Saball Astaburuaga,PPD,54542,B
Ministro,Rodrigo Valdés Pulido,PPD,54012,B
Subsecretario,Mahmud Aleuy Peña y Lillo,PS,23514,C
Subsecretario,Ricardo Cifuentes Lillo,PDC,106418,C
Subsecretario,Óscar Carrasco Carrasco,PPD,16344,C
Subsecretario,Edgardo Riveros Marín,PDC,45168,C
Subsecretario,Marcos Robledo Hoecker,PS,28075,C
Subsecretario,Paulina Vodanovic Rojas,PS,26772,C
Subsecretario,Alejandro Micco Aguayo,PDC,48913,C
Subsecretario,Gabriel de la Fuente Acuña,PS,28061,C
Subsecretario,Omar Leonel Jara Aravena,PDC,61628,C
Subsecretario,Natalia Piergentili Domenech,PPD,114303,C
Subsecretario,Javiera Montes Cruz,PS,20904,C
Subsecretario,Pablo Berazaluce Maturana,PDC,114461,C
Subsecretario,Heidi Berner Herrera,PS,115451,C
Subsecretario,Juan Eduardo Faúndez Molina,PPD,40571,C
Subsecretario,Valentina Karina Quiroga Canahuate,Ind.,23446,C
Subsecretario,María Isabel Díaz Pérez,PS,36000,C
Subsecretario,Nicolás Mena Letelier,PDC,37978,C
Subsecretario,Lorena Fries Monleón,PS,3043,C
Subsecretario,Francisco Díaz Verdugo,PS,64216,C
Subsecretario,Jeannette Jara Román,PC,61186,C
Subsecretario,Sergio Galilea Ocon,PPD,31746,C
Subsecretario,Jaime Burrows Oyarzún,PDC,13186,C
Subsecretario,Ana Gisela Alarcón Rojas,Ind.,34594,C
Subsecretario,Iván Paulo Leonhardt Cárdenas,PS,70097,C
Subsecretario,Claudio Armando Ternicier González,PDC,92463,C
Subsecretario,Erich Sebastián Schnake Walker,PPD,22807,C
Subsecretario,Carlos Melo Riquelme,PDC,3867,C
Subsecretario,Rodrigo Ramiro Ramírez ´Pino,PPD,61245,C
Subsecretario,Jorge Maldonado Contreras,PRSD,45535,C
Subsecretario,Jimena Alejandra Jara Quilodrán,PPD,56650,C
Subsecretario,Jorge Canals de la Puente,PDC,120953,C
Subsecretario,Nicole Alejandra Sáez Pañero,PDC,11699,C
Subsecretario,Bernarda Teresa Pérez Carrillo,IC,98309,C
Diputado,Luis Rocafull López,PS,77066,DIETA PARLEMENTARIA
Diputado,Vlado Mirosevic Verdugo,PL,113495,DIETA PARLEMENTARIA
Diputado,Hugo Gutiérrez Gálvez,PC,92739,DIETA PARLEMENTARIA
Diputado,Renzo Trisotti Martínez,UDI,54688,DIETA PARLEMENTARIA
Diputado,Felipe Ward Edwards,UDI,102034,DIETA PARLEMENTARIA
Diputado,Marcos Espinosa Monardes,PRSD,18131,DIETA PARLEMENTARIA
Diputado,Marcela Hernando Pérez,PRSD,100529,DIETA PARLEMENTARIA
Diputado,Paulina Núñez Urrutia,RN,68167,DIETA PARLEMENTARIA
Diputado,Lautaro Carmona Soto,PC,89782,DIETA PARLEMENTARIA
Diputado,Daniella Cicardini Milla,PS,76232,DIETA PARLEMENTARIA
Diputado,Alberto Robles Pantoja,PRSD,113076,DIETA PARLEMENTARIA
Diputado,Yasna Provoste Campillay,DC,80046,DIETA PARLEMENTARIA
Diputado,Raúl Saldívar Auger,PS,44494,DIETA PARLEMENTARIA
Diputado,Sergio Gahona Salazar,UDI,16524,DIETA PARLEMENTARIA
Diputado,Matías Walker Prieto,DC,101134,DIETA PARLEMENTARIA
Diputado,Daniel Núñez Arancibia,PC,20119,DIETA PARLEMENTARIA
Diputado,Luis Lemus Aracena,PS,68558,DIETA PARLEMENTARIA
Diputado,Miguel Ángel Alvarado Ramírez,PPD,105949,DIETA PARLEMENTARIA
Diputado,Andrea Molina Oliva,UDI,57405,DIETA PARLEMENTARIA
Diputado,Christian Urízar Muñoz,PS,20665,DIETA PARLEMENTARIA
Diputado,Gaspar Rivas Sánchez,Ind.,103865,DIETA PARLEMENTARIA
Diputado,Marco Antonio Núñez Lozano,PPD,103486,DIETA PARLEMENTARIA
Diputado,Arturo Squella Ovalle,UDI,71641,DIETA PARLEMENTARIA
Diputado,Marcelo Schilling Rodríguez,PS,88632,DIETA PARLEMENTARIA
Diputado,Joaquín Godoy Ibáñez,Amplitud,85512,DIETA PARLEMENTARIA
Diputado,Aldo Cornejo González,DC,36252,DIETA PARLEMENTARIA
Diputado,Rodrigo González Torres,PPD,105562,DIETA PARLEMENTARIA
Diputado,Osvaldo Urrutia Soto,UDI,101282,DIETA PARLEMENTARIA
Diputado,María José Hoffmann Opazo,UDI,86223,DIETA PARLEMENTARIA
Diputado,Víctor Torres Jeldes,DC,35496,DIETA PARLEMENTARIA
Diputado,Patricio Melero Abaroa,UDI,52613,DIETA PARLEMENTARIA
Diputado,Gabriel Silber Romo,DC,122110,DIETA PARLEMENTARIA
Diputado,Daniel Farcas Guendelman,PPD,122305,DIETA PARLEMENTARIA
Diputado,Karla Rubilar Barahona,Ind.,69364,DIETA PARLEMENTARIA
Diputado,Cristina Girardi Lavín,PPD,30529,DIETA PARLEMENTARIA
Diputado,Nicolás Monckeberg Díaz,RN,117784,DIETA PARLEMENTARIA
Diputado,Claudia Nogueira Fernández,UDI,29876,DIETA PARLEMENTARIA
Diputado,Karol Cariola Oliva,PC,97747,DIETA PARLEMENTARIA
Diputado,Pepe Auth Steward,Ind.,#N/D,DIETA PARLEMENTARIA
Diputado,Joaquín Lavín León,UDI,102389,DIETA PARLEMENTARIA
Diputado,Marcela Sabat Fernández,RN,17882,DIETA PARLEMENTARIA
Diputado,Maya Fernández Allende,PS,93651,DIETA PARLEMENTARIA
Diputado,Giorgio Jackson Drago,RD,34321,DIETA PARLEMENTARIA
Diputado,Felipe Kast Sommerhoff,Evópoli,118737,DIETA PARLEMENTARIA
Diputado,Cristián Monckeberg Bruner,RN,79389,DIETA PARLEMENTARIA
Diputado,Ernesto Silva Méndez,UDI,20762,DIETA PARLEMENTARIA
Diputado,José Antonio Kast Rist,Ind.,116169,DIETA PARLEMENTARIA
Diputado,Jaime Pilowsky Greene,DC,80206,DIETA PARLEMENTARIA
Diputado,Ramón Farías Ponce,PPD,90946,DIETA PARLEMENTARIA
Diputado,Claudio Arriagada Macaya,DC,77878,DIETA PARLEMENTARIA
Diputado,Gustavo Hasbún Selume,UDI,105365,DIETA PARLEMENTARIA
Diputado,Camila Vallejo Downing,PC,120356,DIETA PARLEMENTARIA
Diputado,Tucapel Jiménez Fuentes,PPD,68022,DIETA PARLEMENTARIA
Diputado,Daniel Melo Contreras,PS,71379,DIETA PARLEMENTARIA
Diputado,Guillermo Teillier del Valle,PC,69409,DIETA PARLEMENTARIA
Diputado,Pedro Browne Urrejola,Amplitud,123102,DIETA PARLEMENTARIA
Diputado,Osvaldo Andrade Lara,PS,22344,DIETA PARLEMENTARIA
Diputado,Leopoldo Pérez Lahsen,RN,111255,DIETA PARLEMENTARIA
Diputado,Jaime Bellolio Avaria,UDI,109475,DIETA PARLEMENTARIA
Diputado,Leonardo Soto Ferrada,PS,57926,DIETA PARLEMENTARIA
Diputado,Denise Pascal Allende,PS,35031,DIETA PARLEMENTARIA
Diputado,Juan Antonio Coloma Álamos,UDI,49283,DIETA PARLEMENTARIA
