name,id,voted,votes,percent,active
"Emmanouil GLEZOS",1654,1004,963,104.26,False
"Nicola CAPUTO",124851,2050,2058,99.61,True
"Mara BIZZOTTO",97198,2049,2058,99.56,True
"Françoise GROSSETÊTE",2025,2048,2058,99.51,True
"Jude KIRTON-DARLING",124953,2048,2058,99.51,True
"Monika VANA",124934,2046,2058,99.42,True
"Fabio Massimo CASTALDO",124812,2045,2058,99.37,True
"Seb DANCE",124952,2045,2058,99.37,True
"Eleonora EVI",124779,2045,2058,99.37,True
"Pablo ECHENIQUE",125036,440,443,99.32,False
"Nicola DANTI",124821,2044,2058,99.32,True
"Jens GIESEKE",124807,2044,2058,99.32,True
"Robert Jarosław IWASZKIEWICZ",124886,2044,2058,99.32,True
"Marco VALLI",124778,2044,2058,99.32,True
"Petr JEŽEK",124707,2043,2058,99.27,True
"Andrew LEWER",124943,2043,2058,99.27,True
"Andrejs MAMIKINS",124746,2043,2058,99.27,True
"Vladimír MAŇKA",28192,2043,2058,99.27,True
"Massimiliano SALINI",125670,2043,2058,99.27,True
"Brando BENIFEI",124867,2042,2058,99.22,True
"Jan KELLER",124695,2042,2058,99.22,True
"Derek VAUGHAN",96918,2042,2058,99.22,True
"Renata BRIANO",124787,2041,2058,99.17,True
"Isabella DE MONTE",124803,2041,2058,99.17,True
"Pavel TELIČKA",124706,2041,2058,99.17,True
"Ivan JAKOVČIĆ",124754,2040,2058,99.13,True
"Afzal KHAN",124962,2040,2058,99.13,True
"Claude ROLIN",125107,2040,2058,99.13,True
"Jarosław WAŁĘSA",96774,2040,2058,99.13,True
"Caterina CHINNICI",124861,2039,2058,99.08,True
"Lorenzo FONTANA",96993,2039,2058,99.08,True
"Jérôme LAVRILLEUX",124731,2039,2058,99.08,True
"Claudia SCHMIDT",125016,2039,2058,99.08,True
"Albert DESS",28228,2038,2058,99.03,True
"Ashley FOX",96957,2038,2058,99.03,True
"Beata GOSIEWSKA",124900,2038,2058,99.03,True
"Thomas MANN",1922,2038,2058,99.03,True
"Mirosław PIOTROWSKI",28341,2038,2058,99.03,True
"Kristina WINBERG",124995,2038,2058,99.03,True
"Tunne KELAM",28424,2037,2058,98.98,True
"Elisabeth KÖSTINGER",96882,2037,2058,98.98,True
"Cristian Dan PREDA",96838,2037,2058,98.98,True
