Declaracion,NombreDeclarante,ApellidoPaternoDeclarante,ApellidoMaternoDeclarante,CantidadQueRepresenta,EntidadQueEmite,FechaAdquisicion,PaisQueEmite,TipoValor,TipoGravamen,ValorPlaza
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,1,PRINCIPAL FINANCIAL GROUP,09/04/2014,CHILE,OTRO,NINGUNO ,62260368
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,1,PRINCIPAL COMPAÃ‘IA SEGUROS DE VIDA CHILE SA,07/10/2014,CHILE,PLANES DE AHORRO,NINGUNO ,3016096
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,1,PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS SA,20/03/2014,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,5702050
http://datos.cplt.cl/datos/infoprobidad/declaracion_fdec523bd0d2a84b9295c4787772944e,LUIS HERIBERTO,MACÁAS,DEMARCHI,51563536,SURA,15/02/2016,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,51563536
http://datos.cplt.cl/datos/infoprobidad/declaracion_fdec523bd0d2a84b9295c4787772944e,LUIS HERIBERTO,MACÁAS,DEMARCHI,3100000,BANCO DE CREDITO E INVERSIONES,11/08/2014,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,3100000
http://datos.cplt.cl/datos/infoprobidad/declaracion_d8700cbd38cc9f30cecb34f0c195b137,JULIA LORENA,FRIES,MONLEÃ“N,10000000,BANCO SANTANDER,28/10/2014,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,0
http://datos.cplt.cl/datos/infoprobidad/declaracion_34ed066df378efacc9b924ec161e7639,ERNESTO,REINBACH,HOFMANN,0,BANCO SANTANDER,30/09/2016,CHILE,DEPÃ“SITOS A PLAZO,CONTRATO DE PRENDA MERCANTIL,0
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,51000000,BANCO SANTANDER,13/05/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,51000000
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,ARÉVALO,ADASME,"1203,79",BANCO DE CHILE,26/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,31603080
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,AREVALO,ADASME,"1203,79",BANCO DE CHILE,26/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,31603080
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,ARÉVALO,ADASME,"1203,79",BANCO DE CHILE,26/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,31603080
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,AREVALO,ADASME,"1203,79",BANCO DE CHILE,26/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,31603080
