Name,Partido
Andrés Allamand Zavala, Rn
Isabel Allende Bussi, Ps
Pedro Araya Guerrero, Ind.
Carlos Bianchi Chelech, Ind.
Francisco Chahuán Chahuán, Rn
Juan Antonio Coloma Correa, Udi
Longton Alfonso De Urresti, Ps
Alberto Espina Otero, Rn
Sanfuentes Alejandro García Huidobro, Udi
José García Ruminot, Rn
Guido Girardi Lavín, Ppd
Carolina Goic Boroevic, Pdc
Alejandro Guillier Álvarez, Ind.
Felipe Harboe Bascuñán, Ppd
Antonio Horvath Kiss, Ind.
Ricardo Lagos Weber, Ppd
Hernán Larraín Fernández, Udi
Juan Pablo Letelier Morel, Ps
Manuel Antonio Matta Aragay, Pdc
Carlos Montes Cisternas, Ps
Iván Moreira Barros, Udi
Adriana Muñoz D`Albora, Ppd
Alejandro Navarro Brain, Pais 
Jaime Orpis Bouchon, Udi
Manuel José Ossandón Irarrázabal, Rn
Martín Lily Pérez San, Amplitud
Víctor Pérez Varela, Udi
Jorge Pizarro Soto, Pdc
Baldo Prokurica Prokurica, Rn
Jaime Quintana Leal, Ppd
Rabindranath Quinteros Lara, Ps
Fulvio Rossi Ciocca, Ps
Eugenio Tuma Zedán, Ppd
Herrera Jacqueline Van Rysselberghe, Udi
Jahn Ena Von Baer, Udi
Ignacio Walker Prieto, Pdc
Patricio Walker Prieto, Pdc
Andrés Zaldívar Larraín, Pdc
