Diputado,Partido
Luis Rocafull López,Ps
Vlado Mirosevic Verdugo,Pl
Hugo Gutiérrez Gálvez,Pc
Renzo Trisotti Martínez,Udi
Felipe Ward Edwards,Udi
Marcos Espinosa Monardes,Prsd
Marcela Hernando Pérez,Prsd
Paulina Núñez Urrutia,Rn
Lautaro Carmona Soto,Pc
Daniella Cicardini Milla,Ps
Alberto Robles Pantoja,Prsd
Yasna Provoste Campillay,Dc
Raúl Saldívar Auger,Ps
Sergio Gahona Salazar,Udi
Matías Walker Prieto,Dc
Daniel Núñez Arancibia,Pc
Luis Lemus Aracena,Ps
Miguel Ángel Alvarado Ramírez,Ppd
Andrea Molina Oliva,Udi
Christian Urízar Muñoz,Ps
Gaspar Rivas Sánchez,Ind.
Marco Antonio Núñez Lozano,Ppd
Arturo Squella Ovalle,Udi
Marcelo Schilling Rodríguez,Ps
Joaquín Godoy Ibáñez,Amplitud
Aldo Cornejo González,Dc
Rodrigo González Torres,Ppd
Osvaldo Urrutia Soto,Udi
María José Hoffmann Opazo,Udi
Víctor Torres Jeldes,Dc
Patricio Melero Abaroa,Udi
Gabriel Silber Romo,Dc
Daniel Farcas Guendelman,Ppd
Karla Rubilar Barahona,Ind.
Cristina Girardi Lavín,Ppd
Nicolás Monckeberg Díaz,Rn
Claudia Nogueira Fernández,Udi
Karol Cariola Oliva,Pc
Pepe Auth Steward,Ind.
Joaquín Lavín León,Udi
Marcela Sabat Fernández,Rn
Maya Fernández Allende,Ps
Giorgio Jackson Drago,Rd
Felipe Kast Sommerhoff,Evópoli
Cristián Monckeberg Bruner,Rn
Ernesto Silva Méndez,Udi
José Antonio Kast Rist,Ind.
Jaime Pilowsky Greene,Dc
Ramón Farías Ponce,Ppd
Claudio Arriagada Macaya,Dc
Gustavo Hasbún Selume,Udi
Camila Vallejo Downing,Pc
Tucapel Jiménez Fuentes,Ppd
Daniel Melo Contreras,Ps
Guillermo Teillier del Valle,Pc
Pedro Browne Urrejola,Amplitud
Osvaldo Andrade Lara,Ps
Leopoldo Pérez Lahsen,Rn
Jaime Bellolio Avaria,Udi
Leonardo Soto Ferrada,Ps
Denise Pascal Allende,Ps
Juan Antonio Coloma Álamos,Udi
Juan Luis Castro González,Ps
Issa Kort Garriga,Udi
Ricardo Rincón González,Dc
Felipe Letelier Norambuena,Ppd
Javier Macaya Danús,Udi
Alejandra Sepúlveda Orbenes,Miras
Sergio Espejo Yaksic,Dc
Ramón Barros Montero,Ind.
Roberto León Ramírez,Dc
Celso Morales Muñoz,Udi
Germán Verdugo Soto,Ind.
Sergio Aguiló Melo,Ic
Pedro Pablo Álvarez-Salamanca Ramírez,Udi
Pablo Lorenzini Basso,Dc
Romilio Gutiérrez Pino,Udi
Jorge Tarud Daccarett,Ppd
Ignacio Urrutia Bonilla,Udi
Guillermo Ceroni Fuentes,Ppd
Carlos Abel Jarpa Wevar,Prsd
Rosauro Martínez Labbe,Rn
Jorge Sabag Villalobos,Dc
Loreto Carvajal Ambiado,Ppd
Cristián Campos Jara,Ppd
Jorge Ulloa Aguillón,Udi
José Miguel Ortiz Novoa,Dc
Enrique van Rysselberghe Herrera,Udi
Clemira Pacheco Rivas,Ps
Marcelo Chávez Velásquez,Dc
Manuel Monsalve Benavides,Ps
Iván Norambuena Farías,Udi
José Pérez Arriagada,Prsd
Roberto Poblete Zapata,Ind.
Jorge Rathgeb Schifferli,Rn
Mario Venegas Cárdenas,Dc
Fuad Chahin Valenzuela,Dc
Diego Paulsen Kehr,Rn
Germán Becker Alvear,Rn
Rene Saffirio Espinoza,Ind.
Joaquín Tuma Zedan,Ppd
José Manuel Edwards Silva,Ind.
Fernando Meza Moncada,Prsd
René Manuel García García,Rn
Bernardo Berger Fett,Rn
Iván Flores García,Dc
Enrique Jaramillo Becker,Ppd
Gonzalo Fuenzalida Figueroa,Rn
Sergio Ojeda Uribe,Dc
Javier Hernández Hernández,Udi
Fidel Espinoza Sandoval,Ps
Felipe De Mussy Hiriart,Udi
Marisol Turres Figueroa,Udi
Patricio Vallespín López,Dc
Alejandro Santana Tirachini,Rn
Jenny Álvarez Vera,Ps
David Sandoval Plaza,Udi
Iván Fuentes Castillo,Dc
Juan Morano Cornejo,Dc
Gabriel Boric Font,Ind.
