RecordId,MeetingId,department,minister,policy_level,portfolio,date,organisation,organisation_alias,organisation_type,purpose
1,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Coventry University College,Coventry University College,Academic institutions,
2,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,University of Manchester,University of Manchester,Academic institutions,
3,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,City University,City University,Academic institutions,
4,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,University of Aberdeen,University of Aberdeen,Academic institutions,
5,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,University of London,University of London,Academic institutions,
6,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,University of Surrey,University of Surrey,Academic institutions,
7,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Higher Education Policy Institute,Higher Education Policy Institute,Academic institutions,
8,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,University of Law,University of Law,Academic institutions,
9,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,University of Cambridge,University of Cambridge,Academic institutions,
10,1,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Newcastle College,Newcastle College,Academic institutions,
11,2,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Trades Union Congress,Trades Union Congress,Trade union / professional body,
12,3,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Shell International,Shell,Companies and groups,
13,4,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Financial Reporting Council,Financial Reporting Council,NGO,
14,5,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,Enterprise Forum,Enterprise Forum,Trade association,
15,6,"Business, Innovation and Skills",Rt Hon Vincent Cable MP,Secretary of State,"Business, Innovation & Skills and President of the Board of Trade",01/04/2014,British Retail Consortium,British Retail Consortium,Trade association,
