status,unregistered,ec_representative,created_at,updated_at,date,participants,location,ec_org,cancelled,deregistered,id,subject
active,,President Jean-Claude Juncker,2015-05-07T23:07:02.345683,2015-09-09T01:41:50.999627,2015-03-20T00:00:00,Open Society European Policy Institute(fa3ba49879924f28b3fc557c7150c775),Brussels,,False,,87a66decb40d28c8c10465779f08f329,Meeting with George Soros
inactive,,Telmo Baltazar,2015-05-07T23:07:02.566948,2015-06-01T01:22:03.300161,2015-03-26T00:00:00,Airbus Group N.V.(369f73cbcd63403cbbee3043af38b12b),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,1984df80f1f17da69d902995fef7e17b,Transport
active,,President Jean-Claude Juncker,2015-05-07T23:07:02.357858,2015-09-09T01:41:51.370655,2015-03-02T00:00:00,Bundesverband der Deutschen Industrie e.V.(1697453d55314bb3b62f74187f1a1c48),Berlin,,False,,09b1333a0f3f09918df8835789505b14,Speaker at BDI (German industry federation) gala dinner
active,,President Jean-Claude Juncker,2015-05-07T23:07:02.368911,2015-09-09T01:41:51.432124,2015-02-26T00:00:00,European Publishers Council(85a8f63925ff4982b3637cd7809fb751),Brussels,,False,,51e37fe13348c91aae9dae249984c876,Receives CEOs of European Publisher Groups
active,,Carlo Zadra,2015-05-07T23:07:02.388546,2015-09-09T01:41:51.560565,2015-04-29T00:00:00,International Organization for Migration(17e8980cd66144c5a73ff6650989859b),Brussels,Cabinet members of President Jean-Claude Juncker,False,,097d4787cee7b877b7182a693c91aed5,Migration issues
active,,Pauline Rouch,2015-05-07T23:07:02.410188,2015-09-09T01:41:51.638605,2015-04-21T00:00:00,European Digital Media Association(d1baa5d7d8114fe08132ff535db469fc),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,2fe86ca7dacadd4469532bcab6fe710a,Digital Single Market
inactive,,Pauline Rouch,2015-05-07T23:07:02.399739,2015-07-06T16:49:56.114016,2015-04-22T00:00:00,Hachette Livre(6cf7ccd94bb44023a57a593d0f7d9abc),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,dd6e2fb7186e91d15b7ae9f10475126d,Digital Single Market
active,,Pauline Rouch,2015-05-07T23:07:02.421141,2015-09-09T01:41:51.697431,2015-04-21T00:00:00,Society of Audiovisual Authors(5fe9b766e9604516a4150ba04960fc36),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,cd8c2f57797b603102daa8b3d22edc82,Digital Single Market
active,,Paulina Dejmek Hack,2015-05-07T23:07:02.471775,2015-09-09T01:41:51.833459,2015-04-16T00:00:00,British Bankers' Association(13c5a434e5a04e428a83491c7199bd47),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,57bc5b1cdd2fe5713e44b50042d73d6a,"Jobs and Growth agenda, Capital Markets Union"
active,,Telmo Baltazar,2015-05-07T23:07:02.482265,2015-09-09T01:41:51.887048,2015-04-16T00:00:00,"Deutscher Naturschutzring, Dachverband der deutschen Natur-, Tier- und Umweltschutzverbände (DNR e.V.)(cb51f85a9f8b4cf08e08364df8bc201c)","Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,34a1d7b188df1c9836b4991406a72179,Climate Action and Energy Union
active,,Antoine Kasel,2015-05-07T23:07:02.514330,2015-09-09T01:41:51.997853,2015-04-13T00:00:00,John Wiley & Sons(b4a7438cd1134b53a48fe31bb4a2786f),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,43975f199bfa079f767c541da917afa7,"Research, science and innovation issues"
active,,Pauline Rouch,2015-05-07T23:07:02.525130,2015-09-09T01:41:52.043756,2015-04-13T00:00:00,European Youth Forum(4caf640e33bf41d2942c1c417cfbf415),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,c9afb84b48abacce52f81906c586fa1c,Digital Single Market
active,,Paulina Dejmek Hack,2015-05-07T23:07:02.535693,2015-09-09T01:41:52.108345,2015-04-01T00:00:00,BlackRock(6017fce661974948beee29ac5444a4d3),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,10421ad1dc894f9a87846c1da9a63273,EFSI and capital markets union
active,,Sandra Kramer,2015-05-07T23:07:02.587224,2015-09-09T01:41:52.244783,2015-03-26T00:00:00,European Business Summit Network(14ce7b026def4c07a6cefc7a2c3fb07d),"Brussels, Berlaymont",Cabinet members of President Jean-Claude Juncker,False,,82ee225f758e4b923aab9fb732c6ad2c,Upcoming events
inactive,,Paulina Dejmek Hack,2015-05-07T23:07:02.575544,2015-07-06T16:49:56.849012,2015-03-26T00:00:00,UBS Group AG(65b445b144ca45d3a7d3fe0c86d4d311),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,fb929a4ebddc7e7b8b001058f7510a1e,Digital Single Market
active,,Clara Martinez Alberola,2015-05-07T23:07:02.611153,2015-09-09T01:41:52.305206,2015-03-24T00:00:00,European Generic medicines Association(015561fa49cf4aaa9920851bbc801598),Berlaymont,Cabinet members of President Jean-Claude Juncker,False,,0fa26dbaf64425a6b89a37459bcd628f,European Union’s policies affecting the pharmaceutical sector
active,,Pauline Rouch,2015-05-07T23:07:02.622484,2015-09-09T01:41:52.345150,2015-03-24T00:00:00,Orange(33061f0dfbea403e817949ef18d7db73),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,9046dc1b20c50eb069e7126b677442bc,Digital Single Market
active,,Telmo Baltazar,2015-05-07T23:07:02.678700,2015-09-09T01:41:52.609419,2015-03-24T00:00:00,University of Cambridge Institute for Sustainability Leadership(962529ab26a74715adf1b10857964dc3),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,61bcecaa9f6e7d0698cac0dd8d231308,Energy Union
active,,Pauline Rouch,2015-05-07T23:07:02.689258,2015-09-09T01:41:52.650333,2015-03-24T00:00:00,Europeana Foundation(e2934f69ddc24028bba1714d28138903),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,f44a159f989a4fb8052ea6c2cb35eb7f,Digital Single Market
active,,Telmo Baltazar,2015-05-07T23:07:02.700519,2015-09-09T01:41:52.690111,2015-03-23T00:00:00,VINCI Concessions(55c9ed0482cf45eeb50dddb13b769de8),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,dbb69932644eb13ceb3c93f7105eac03,Transport
active,,Sandra Kramer,2015-05-07T23:07:02.709701,2015-09-09T01:41:52.730908,2015-03-20T00:00:00,Burson-Marsteller(016a35ac50f040c4ae2d250c103c4e43),"Brussels, Berlaymont",Cabinet members of President Jean-Claude Juncker,False,,9bc0b1ec9e54f7c6c8b1143ebf939ae7,Handing over of calendar
active,,Pauline Rouch,2015-05-07T23:07:02.720115,2015-09-09T01:41:52.779727,2015-03-18T00:00:00,Fédération Française des Télécoms(cfd4410dca1549149f1346bb3d11aa39),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,5f3f26d00ce6659ce0ecc71a5da97240,Digital Single Market
active,,Luc Tholoniat,2015-05-07T23:07:02.728883,2015-09-09T01:41:52.832618,2015-03-18T00:00:00,Tata Limited(dd2395619bad43ebbf3170008fe33fdc),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,6b05e2515bae3934daf1b702a08e9770,"Jobs, Growth and Innovation in Europe"
active,,Pauline Rouch,2015-05-07T23:07:02.739429,2015-09-09T01:41:52.874688,2015-03-17T00:00:00,Amazon Europe Core SARL(6ca65f0cfbdd489d8ef6dc9c25c52a04),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,dd8629b03f424fa559ec2f96afdfe0c8,Digital Single Market
active,,Pauline Rouch,2015-05-07T23:07:02.752125,2015-09-09T01:41:52.914255,2015-03-17T00:00:00,Spotify AB(c575d6b6a9754331933efb576034aefb),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,2c9ec29af5512ae06dc21d3a8aea6538,Digital Single Market
active,,President Jean-Claude Juncker,2015-05-07T23:07:02.317998,2015-09-09T01:41:50.420100,2015-03-24T00:00:00,Kofi Annan Foundation(5b4ed4cd883b4e5fb3d8c2dfe6cbbe12),Brussels,,False,,8ffd8f641fdf304c8978f9b98a9be797,Meeting with Kofi Annan
