host	date	location	title	guestid	guestname	cabinet
President Jean-Claude Juncker	02/03/2015	Berlin	Speaker at BDI (German industry federation) gala dinner	1771817758-48	Bundesverband der Deutschen Industrie e.V.	
President Jean-Claude Juncker	26/02/2015 (Cancelled)	Brussels	receives CEOs of European Publisher Groups	unregistered	European Policy Center	
President Jean-Claude Juncker	26/02/2015	BRUSSELS	receives CEOs of European Publisher Groups	4456380381-30	European Publishers Council	
President Jean-Claude Juncker	24/02/2015	Brussels	Meeting with Jens-Peter Bonde	060587815138-96	Jens-Peter Bonde	
Leon Delvaux	03/03/2015	Brussels, Belgium	GMO review	9832909575-41	Greenpeace	Cabinet members of President Jean-Claude Juncker
Sandra Kramer	27/02/2015	Berlaymont - Brussels	General developments in digitalisation	494613715191-85	Cisco Systems Inc. 	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	27/02/2015	Brussels, Belgium	European Economic Recovery	099567215966-86	Eckert Windhagen, McKinsey	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	27/02/2015	Brussels, Belgium	Current EU Issues	90947457424-20	Etienne Davignon, GDF Suez	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar Martin Selmayr	26/02/2015	Brussels, Belgium	Current EU Policy Issues	068666413202-65	Verband der Automobilindustrie - Matthias Wissmann, President	Cabinet members of President Jean-Claude Juncker
Pauline Rouch Martin Selmayr	26/02/2015	Brussels, Belgium	Working lunch	4456380381-30	European Publishers Council	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	19/02/2015	Brussels, Belgium	Digital Single Market	16094042309-21	LVMH Publica	Cabinet members of President Jean-Claude Juncker
Clara Martinez Alberola	19/02/2015 (Cancelled)	Berlaymont	Exchange of views in the perspective to present of Health & Growth and to discuss ERA, medicine development and its access for the patient	61291462764-77	SANOFI	Cabinet members of President Jean-Claude Juncker
Leon Delvaux	18/02/2015	Brussels, Belgium	Trade	23527541824-60	ArcelorMittal	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	17/02/2015	Brussels, Belgium	Energy Union	83425058760-88	Federacciai 	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	17/02/2015	Brussels, Belgium	Investment Plan	190987114891-73	Investor AB	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	17/02/2015	Brussels, Belgium	Digital Single Market	unregistered	UK and German Public Service Broadcasters 	Cabinet members of President Jean-Claude Juncker
Leon Delvaux	11/02/2015	Brussels, Belgium	Trade	431612415760-82	FELULA SA	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	05/02/2015	Brussels, Belgium	Energy Union	8999533555-91	Bosch GmbH	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	04/02/2015	Brussels, Belgium	Energy Union	41126912590-71	AREVA SA	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	04/02/2015	Brussels, Belgium	Digital Single Market	40386322300-77	eBay EU liaison office	Cabinet members of President Jean-Claude Juncker
Leon Delvaux	04/02/2015	Brussels, Belgium	Health matters	48562122691-12	EuroHealthNet	Cabinet members of President Jean-Claude Juncker
Clara Martinez Alberola	04/02/2015	Berlaymont	Meeting between Ms Martinez Alberola and Ana Palacio	400183910694-08	SALESAS TRES CENTRO DE ESTUDIOS	Cabinet members of President Jean-Claude Juncker
Carlo Zadra	04/02/2015	Brussels Belgium	Mr De Molli, CEO, asked to introduce the company and illustrate this year's Forum	625244214975-24	The European House-Ambrosetti	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	03/02/2015	Brussels, Belgium	Digital Single Market	54437813115-56	European Association of Internet Services Providers	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	30/01/2015	Brussels, Belgium	Capital Markets Union	86270761494-62	Aviva plc	Cabinet members of President Jean-Claude Juncker
Leon Delvaux	30/01/2015	Brussels	Trade	83425058760-88	Federazione Imprese Siderurgiche Italiane (FEDERACCIAI)	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	29/01/2015	Brussels, Belgium	Energy Union	656322315335-91	Association Française du Gaz	Cabinet members of President Jean-Claude Juncker
Paulina Dejmek Hack	29/01/2015	Brussels, Belgium	New Commission's priorities	237922911665-25	TheCityUK 	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	29/01/2015	Brussels, Belgium	Digital Single Market	unregistered	Cable sector	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	29/01/2015	Brussels, Belgium	Digital Single Market	00919034091-89	BT Group plc	Cabinet members of President Jean-Claude Juncker
Carlo Zadra	28/01/2015	Brussels, Belgium	Data Protection Package	522122412613-18	Paolo Grassia, Community Group of European Organisations on Data Protection	Cabinet members of President Jean-Claude Juncker
Carlo Zadra	28/01/2015	BERLAYMONT - BRUSSELS	Data protection issues	501468815548-71	Coalition of European Organisations on Data Protection	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	27/01/2015	Brussels, Belgium	Digital Single Market	256463315409-35	The Walt Disney Company 	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	27/01/2015	Brussels, Belgium	Digital Single Market	unregistered	European Football Leagues	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	27/01/2015	Brussels, Belgium	Current EU Policy Issues	524976815651-12	Centre for European Reform - Charles Grant	Cabinet members of President Jean-Claude Juncker
Martin Selmayr	27/01/2015	Brussels, Belgium	Current Financial Issues	83370363079-88	Commerzbank AG	Cabinet members of President Jean-Claude Juncker
Pauline Rouch	26/01/2015	Brussels, Belgium	Digital Single Market	099112415244-08	LeGuide.com	Cabinet members of President Jean-Claude Juncker
Telmo Baltazar	26/01/2015	Brussels, Belgium	Energy Union	1414929419-24	WWF European Policy Programme	Cabinet members of President Jean-Claude Juncker
