host	id	date	location	title	guestid	guestname	cabinet		
President Jean-Claude Juncker	8ffd8f641fdf304c8978f9b98a9be797	24/03/2015	Brussels	Meeting with Kofi Annan	961873216116-63	Kofi Annan Foundation			
President Jean-Claude Juncker	b6ff9166366dec9517444a59182cb4a2	23/03/2015	Brussels	Meeting with Bernadette Segol - General Secretary ETUC	06698681039-26	EUROPEAN TRADE UNION CONFEDERATION			
President Jean-Claude Juncker	87a66decb40d28c8c10465779f08f329	20/03/2015	Brussels	Meeting with George Soros	8557515321-37	Open Society European Policy Institute			
President Jean-Claude Juncker	09b1333a0f3f09918df8835789505b14	02/03/2015	Berlin	Speaker at BDI (German industry federation) gala dinner	1771817758-48	Bundesverband der Deutschen Industrie e.V.			
President Jean-Claude Juncker	9828dd2fd39d8b6db9ca3e4d8a525257	26/02/2015 (Cancelled)	Brussels	receives CEOs of European Publisher Groups	4456380381-30	European Publishers Council			
President Jean-Claude Juncker	8bbc33ccf41a41e3a073d67376f794e3	26/02/2015	BRUSSELS	receives CEOs of European Publisher Groups	4456380381-30	European Publishers Council			
President Jean-Claude Juncker	576c7b390e374384a61bad83a5c27b91	24/02/2015	Brussels	Meeting with Jens-Peter Bonde	060587815138-96	Jens-Peter Bonde			
Antoine Kasel	02ece2610435689cebaf66d2c76f6776	13/04/2015	Brussels, Belgium	Research, science and innovation issues	543273616565-61	John Wiley & Sons	Cabinet members of President Jean-Claude Juncker		
Clara Martinez Alberola	12b3eab30b011567180be17fbfc0e253	27/03/2015	Berlaymont	How to strengthen a European coherent approach with focus on ERA development, ways to reduce the fragmented approach in Europe for evaluation the value of new medicines for improved access for the patient, and means of creating a more dynamic environment for medicine development in Europe and driving an ambitious agenda allowing the European life sciences sector to remain competetive on a global scale.	61291462764-77	SANOFI	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	5fc4379d75dd6301837b84a2577b58cb	24/03/2015	Brussels, Belgium	Tax Transparency Package	34100356706-23	ARCTURUS GROUP	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	5fc4379d75dd6301837b84a2577b58cb	24/03/2015	Brussels, Belgium	Tax Transparency Package	04902121531-04	European Federation of Public Service Unions	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	5fc4379d75dd6301837b84a2577b58cb	24/03/2015	Brussels, Belgium	Tax Transparency Package	33130841043-14	European Federation of Food, Agriculture and Tourism Trade Unions	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	5fc4379d75dd6301837b84a2577b58cb	24/03/2015	Brussels, Belgium	Tax Transparency Package	509557415718-13	Service Employees International Union	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	5fc4379d75dd6301837b84a2577b58cb	24/03/2015	Brussels, Belgium	Tax Transparency Package	19316934749-13	Gewerkschaft Nahrung Genuss Gassstätten	Cabinet members of President Jean-Claude Juncker		
Clara Martinez Alberola	ddc34f032139b69d6dc9d0e3508701cc	24/03/2015	Berlaymont	European Union’s policies affecting the pharmaceutical sector	48325781850-28	European Generic medicines Association	Cabinet members of President Jean-Claude Juncker		
Luc Tholoniat	c0701bf7f4bd0e194478c7a40c15085d	18/03/2015	Brussels, Belgium	Jobs, Growth and Innovation in Europe	732259614632-44	Tata Limited	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	93ed306b7d81dbb87ad66d659e68e15c	18/03/2015	Brussels, Belgium	Digital Single Market	005930614727-54	Fédération Française des Télécoms	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	d1fc959d246bfa1d815f786d3543f792	17/03/2015	Brussels, Belgium	Digital Single Market	365747616583-15	Spotify	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	bdccc6d64e360d5d95f4ccadf800785b	17/03/2015	Brussels, Belgium	Digital Single Market	256463315409-35	The Walt Disney Company	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	be6bac5509562ed27fbb3dfb9c9a6aca	17/03/2015	Brussels, Belgium	Digital Single Market	366117914426-10	Amazon Europe Core SARL	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	f15ef266693ce25c39359c4110fa361b	16/03/2015	Brussels, Belgium	Priorities of the new Commission	5199259747-21	PensionsEurope	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	4640b0c3590d1ff92b9ec6c528f2393c	16/03/2015	Brussels, Belgium	Investment Plan	05503341949-54	Allianz SE	Cabinet members of President Jean-Claude Juncker		
Paulina Dejmek Hack	7b8078d3b78c5bae8d24f9b7ae8bfaa4	13/03/2015	Brussels, Belgium	Priorities of the new Commission	09245221105-30	Fédération bancaire française	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	1849759e20edb57ed0c24876af148c1f	12/03/2015	Brussels	Digital Single Market	37937886834-69	European Magazine Media Association	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	1849759e20edb57ed0c24876af148c1f	12/03/2015	Brussels	Digital Single Market	5950962136-12	European Newspaper Publishers' Association	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	803d24d4914408c0465bff0d052f1db6	06/03/2015	Brussels, Belgium	TAX ISSUES	1894704851-83	European Express Association	Cabinet members of President Jean-Claude Juncker		
Antoine Kasel	4a8098da576ec3f6e982442d45d332ab	06/03/2015	Brussels, Belgium	European Semester	1414929419-24	WWF European Policy Programme	Cabinet members of President Jean-Claude Juncker		
Telmo Baltazar	f06ef0e7b52e5d1de7fc51271f161b2c	03/03/2015	Brussels, Belgium	Climate Action and Energy	64869491516-70	European Climate Foundation	Cabinet members of President Jean-Claude Juncker		
Leon Delvaux	6b7a7c692af7b32f66e73edcb25aefe4	03/03/2015	Brussels, Belgium	GMO review	9832909575-41	Greenpeace European Unit	Cabinet members of President Jean-Claude Juncker		
Pauline Rouch	5c85f879b8b4ac42c1b3a0c6e5183941	03/03/2015	Brussels, Belgium	Digital Single Market	487726915971-30	Netflix	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	3006e8495a8936705804686e7425334c	27/02/2015	Brussels, Belgium	European Economic Recovery	099567215966-86	McKinsey & Company, Inc.	Cabinet members of President Jean-Claude Juncker		
Sandra Kramer	d0317368c2ed67811dd2b00cc0846009	27/02/2015	Berlaymont - Brussels	General developments in digitalisation	494613715191-85	Cisco Systems Inc.	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr	1b56aa0bb51e64496c6d0b9ce817df0d	27/02/2015	Brussels, Belgium	Current EU Issues	90947457424-20	GDF SUEZ	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr Pauline Rouch	8ea26acde8c72943ff7cd24fe2a2788d	26/02/2015	Brussels, Belgium	Working lunch	4456380381-30	European Publishers Council	Cabinet members of President Jean-Claude Juncker		
Martin Selmayr Telmo Baltazar	dc9864709ab050bbcfb5cb73d490370c	26/02/2015	Brussels, Belgium	Current EU Policy Issues	95574664768-90	Verband der Automobilindustrie	Cabinet members of President Jean-Claude Juncker		
