id,status,guest,host,cabinet,date,guestid,title,unregistered,nb
8ffd8f641fdf304c8978f9b98a9be797,registered,Kofi Annan Foundation,President Jean-Claude Juncker,,2015-03-24T00:00:00,5b4ed4cd883b4e5fb3d8c2dfe6cbbe12,Meeting with Kofi Annan,,0
b6ff9166366dec9517444a59182cb4a2,registered,EUROPEAN TRADE UNION CONFEDERATION,President Jean-Claude Juncker,,2015-03-23T00:00:00,98893fe0d2554088b253b817a47f535b,Meeting with Bernadette Segol - General Secretary ETUC,,0
87a66decb40d28c8c10465779f08f329,registered,Open Society European Policy Institute,President Jean-Claude Juncker,,2015-03-20T00:00:00,fa3ba49879924f28b3fc557c7150c775,Meeting with George Soros,,0
09b1333a0f3f09918df8835789505b14,registered,Bundesverband der Deutschen Industrie e.V.,President Jean-Claude Juncker,,2015-03-02T00:00:00,1697453d55314bb3b62f74187f1a1c48,Speaker at BDI (German industry federation) gala dinner,,0
51e37fe13348c91aae9dae249984c876,registered,European Publishers Council,President Jean-Claude Juncker,,2015-02-26T00:00:00,85a8f63925ff4982b3637cd7809fb751,Receives CEOs of European Publisher Groups,,0
097d4787cee7b877b7182a693c91aed5,registered,International Organization for Migration,Carlo Zadra,Cabinet members of President Jean-Claude Juncker,2015-04-29T00:00:00,17e8980cd66144c5a73ff6650989859b,Migration issues,,0
dd6e2fb7186e91d15b7ae9f10475126d,registered,Hachette Livre,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-04-22T00:00:00,6cf7ccd94bb44023a57a593d0f7d9abc,Digital Single Market,,0
2fe86ca7dacadd4469532bcab6fe710a,registered,European Digital Media Association,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-04-21T00:00:00,d1baa5d7d8114fe08132ff535db469fc,Digital Single Market,,0
cd8c2f57797b603102daa8b3d22edc82,registered,Society of Audiovisual Authors,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-04-21T00:00:00,5fe9b766e9604516a4150ba04960fc36,Digital Single Market,,0
57bc5b1cdd2fe5713e44b50042d73d6a,registered,British Bankers' Association,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2015-04-16T00:00:00,13c5a434e5a04e428a83491c7199bd47,"Jobs and Growth agenda, Capital Markets Union",,0
