name,url
President Jean-Claude Juncker,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Cabinet members of President Jean-Claude Juncker,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=91b45ce8-2ff0-4e67-b5b5-b42151217f13
First Vice-President Frans Timmermans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Cabinet members of First Vice-President Frans Timmermans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f3715246-e6ff-4856-b9d8-1ed4f86738b7
High Representative/Vice-President Federica Mogherini,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6e27e5b2-65cf-4733-99b1-0a5e094088c1
Cabinet members of High Representative/Vice-President Federica Mogherini,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b6c0bf49-dbd0-4884-af38-d0da75bc6395
Vice-President Kristalina Georgieva,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e
Cabinet members of Vice-President Kristalina Georgieva,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=bd40b1da-482e-472a-8d00-fcb21ed47880
Vice-President Andrus Ansip,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac
Cabinet members of Vice-President Andrus Ansip,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=cd3770a0-4fb5-4e79-a343-072b167456b3
Vice-President Maro\u0161 \u0160ef\u010dovi\u010d,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=a7c58a45-8006-46df-9f12-b80ff5b34a1f
Cabinet members of Vice-President Maro\u0161 \u0160ef\u010dovi\u010d,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=dea9b479-804b-4eb7-92cd-f0ebc6a445d1
Vice-President Valdis Dombrovskis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=12405586-0ba8-4a54-94ae-12e8daeb7b26
Cabinet members of Vice-President Valdis Dombrovskis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e6418b8f-9cc0-44ab-9818-a40997dea82e
Vice-President Jyrki Katainen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=d4efd679-b6bf-4ef8-a077-a041991378c7
Cabinet members of Vice-President Jyrki Katainen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=11408bf9-1c96-46d1-803f-5852821362dd
Commissioner G\xfcnther Oettinger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f24e4f06-d181-4f58-9604-3aaf3ce391ea
Cabinet members of Commissioner G\xfcnther Oettinger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=595cf53f-c018-4fc8-afa0-9d66c289795c
Commissioner Johannes Hahn,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=92703759-b346-49b5-83ac-edf2bbe01d2f
Cabinet members of Commissioner Johannes Hahn,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=dee51db7-bb13-4d5e-a753-43f58a567da2
Commissioner Cecilia Malmstr\xf6m,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=fdf6c08d-54d1-4524-aa70-1287c34ceb4d
Cabinet members of Commissioner Cecilia Malmstr\xf6m,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=61aa8586-2b0d-4394-b196-30c13f1fa663
Commissioner Neven Mimica,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=682fd8b6-7fce-4fba-91af-525e4a9cbf52
Cabinet members of Commissioner Neven Mimica,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b63071fc-cabe-4ca8-ae34-a28182ee77e9
Commissioner Miguel Arias Ca\xf1ete,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=523060f7-97c6-480b-8bb9-30bb409e650e
Cabinet members of Commissioner Miguel Arias Ca\xf1ete,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=9778d998-6aed-40e3-a1d6-614db81c7918
Commissioner Karmenu Vella,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f92a74d6-757c-46fd-8042-2564cc3d763f
Cabinet members of Commissioner Karmenu Vella,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0fbb66b7-d3ed-44b7-9ddc-6fcc02880a75
Commissioner Vytenis Andriukaitis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=a980459e-c697-49b1-9713-5c5034a26cdc
Cabinet members of Commissioner Vytenis Andriukaitis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e59c4da1-3434-4ddf-aa47-ade4c7dd0396
Commissioner Dimitris Avramopoulos,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1b4b07a3-f945-456c-a005-6546de4bf468
Cabinet members of Commissioner Dimitris Avramopoulos,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e2d6f6f8-a020-4a91-b127-37f543c30e5b
Commissioner Marianne Thyssen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=3aaa2b0d-1706-495f-9c93-7f939888afb2
Cabinet members of Commissioner Marianne Thyssen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0cbf10a4-0ceb-4eee-a8ff-cb4a7d0c12d1
Commissioner Pierre Moscovici,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=af65fb60-5ba8-4af1-87ae-edab5dac6afa
Cabinet members of Commissioner Pierre Moscovici,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f033c462-1999-46a6-bc20-41681b6ee898
Commissioner Christos Stylianides,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=7a3ad6a0-2fdd-4656-8462-85f57d9a8c54
Cabinet members of Commissioner Christos Stylianides,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=c8069fd5-5ab9-4ecb-ae1f-7e4961724890
Commissioner Phil Hogan,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=55ddae5a-33fa-40b4-87b4-8815e503dc26
Cabinet members of Commissioner Phil Hogan,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=93d7d7cd-b3d3-4b15-9d6c-e260103bde3a
Commissioner Jonathan Hill,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ebb93164-c494-436e-b965-e367adbcae32
Cabinet members of Commissioner Jonathan Hill,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8f89f28d-f775-4807-b9d0-606199b7855b
Commissioner Violeta Bulc,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8d390599-609a-4464-b941-6815b1228b44
Cabinet members of Commissioner Violeta Bulc,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6c292f99-8c7f-4d91-a8ff-6aeef35a9375
Commissioner El\u017cbieta Bie\u0144kowska,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e8354e80-dd05-4cb8-ba46-0dbb02ee2d88
Cabinet members of Commissioner El\u017cbieta Bie\u0144kowska,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=85ded49b-f5bb-486e-9404-b864a34d8340
Commissioner V\u011bra Jourov\xe1,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=cc463fab-bfff-4595-bb45-6d0af96b5e83
