id,contact_country,sub_category,sub_category_title,acronym,name,main_category,cost_min,cost_max,cost_absolute,fte,acc_count,code,status,country,accredited
fa4eabffbfed4b8f911cabfeb17c2394,DE,25,Trade and business organisations,,European Bioplastics,2,10000,24999,,0.5,1,245070265-17,active,82,
8b2c5b51bb58442f988ed13325b32162,BE,25,Trade and business organisations,EDFI,European Development Finance Institutions,2,10000,24999,,0.5,0,410540760-32,active,21,
65f4edb95b454025b95772912b8f9993,BE,25,Trade and business organisations,FoodServiceEurope,FoodServiceEurope,2,200000,299999,,2.5,0,822198744-40,active,21,
c34877e57c09479b92c7e8a87192c480,DE,31,"Non-governmental organisations, platforms and networks and similar",TI,Transparency International,3,1750000,1999999,,17.75,14,501222919-71,active,82,
3abb16af99534f6ab98cd513e9a85735,PT,11,Professional consultancies,OMNICONSUL,OMNICONSUL - Public Affairs Consultancy Lda,1,50000,99999,,3.75,1,88889756-78,active,177,
6f2a9aaa9668418a96b25c5086054d7f,BE,25,Trade and business organisations,FORATOM,European Atomic Forum,2,400000,499999,,3,7,42433582-82,active,21,
1af8aa58ca6940d0885e1af37529b2ec,ES,21,Companies & groups,,"Telefonica, S.A.",2,,,2000000,6,6,52431421-12,active,209,
212c1d2b00c0424da8eb71aefabca1d4,DE,31,"Non-governmental organisations, platforms and networks and similar",,Stiftung Pro Wettbewerb gAG,3,,9999,,0.25,0,107116083-81,active,82,
1ae5a719d3bd49348a749266fe6b6a17,BE,25,Trade and business organisations,CER,Community of European Railway and Infrastructure Companies,2,1000000,1249999,,7,13,7574621118-27,active,21,
b5170ea0118540689383dc31810518da,ES,25,Trade and business organisations,,Cooperativas Agro-alimentarias de España,2,200000,299999,,6.75,0,3191855142-12,active,209,
4940acffe36f49a88e00f5e998479c26,FR,13,Self-employed consultants,,L'Europe à la Une,1,,,0,1,0,5659480119-74,active,75,
c6a4a1ef1a004e2780614110102423d6,FR,25,Trade and business organisations,AFEP,Association Française des Entreprises Privées / French Association of Large Companies,2,600000,699999,,4.75,6,953933297-85,active,75,
0acbd9039cb549cd92a4b65e92bd530c,BE,31,"Non-governmental organisations, platforms and networks and similar",BROmo,BROmotion,3,25000,49999,,1.5,1,8522206185-94,active,21,
9a28181372604f62b004d1cfe63be7ef,BE,25,Trade and business organisations,FEP-FEE,Federation of European Publishers,2,200000,299999,,2.5,5,398541467-53,active,21,
55bfaccb52964be283a929aa7ab52b65,NL,25,Trade and business organisations,evofenedex,evofenedex the Dutch Shippers's organization,2,,9999,,0.5,0,84545717-79,active,155,
74d308a47cf94ef5945d1f067b443e34,LT,41,Think tanks and research institutions,LMA,Lietuvos mokslų akademija,4,800000,899999,,59.75,0,8768994186-53,active,126,
102121608e394ed9af3f71bd5986fb2c,DE,25,Trade and business organisations,,AfW - Bundesverband Finanzdienstleistung e.V.,2,,9999,,0.25,0,8599730214-81,active,82,
256d743893e54ec8b6e1c9bad635255f,DE,31,"Non-governmental organisations, platforms and networks and similar",ESH,Enthinderungsselbsthilfe von Autisten für Autisten (und Angehörige) - ESH,3,,9999,,5,0,5115791132-19,active,82,
bcdb157e02124cc3936a799d2c584a1e,DE,64,Other sub-national public authorities,DSVAE,Deutsche Sozialversicherung Arbeitsgemeinschaft Europa,6,600000,699999,,5,5,917393784-31,active,82,
a5e0cb7e78ab4196b6fef0cb314fcc17,BE,31,"Non-governmental organisations, platforms and networks and similar",IFIEC Europe,International Federation of Industrial Energy Consumers,3,100000,199999,,4,4,1978775156-31,active,21,
0e1ed38d5afe4739af025a74e926102f,IT,13,Self-employed consultants,EB,Bernardi Eugenio,1,,,1000,0.25,0,872332582-69,active,108,
6c396a9d292f4c16b49b2eaf34948442,DE,25,Trade and business organisations,DNotV,Deutscher Notarverein,2,,9999,,1,0,4214197228-35,active,82,
86807d09a39e4dbe9c68cbd28274129d,DE,31,"Non-governmental organisations, platforms and networks and similar",djb,Deutscher Juristinnenbund e.V.,3,100000,199999,,0.5,0,9304391101-08,active,82,
eeab802e0786407ca16e1d26bff24d3a,BE,25,Trade and business organisations,,World Employment Confederation-Europe,2,,,200000,2.25,1,7438623236-16,active,21,
438ee773b4614af6a0779368366738e0,DE,21,Companies & groups,,Vorwerk & Co. KG,2,200000,299999,,2,1,9034794234-28,active,82,
58b27cb04c114cf890760278daeb4ea2,FR,21,Companies & groups,,RENAULT,2,400000,499999,,1.75,4,946343776-69,active,75,
15e9ff2673cf43c380e6b64995477fc1,BE,25,Trade and business organisations,EURATEX,EUROPEAN APPAREL AND TEXTILE CONFEDERATION,2,300000,399999,,2,3,7824139202-85,active,21,
bf89b43db361403295f27355496f3e5e,BE,31,"Non-governmental organisations, platforms and networks and similar",INE,Inland Navigation Europe,3,10000,24999,,1.75,1,1811573195-25,active,21,
b73585b18ee24887a2a714bc77e36c6f,BE,11,Professional consultancies,KEA,KEA European Affairs,1,200000,299999,,6,2,9213770154-45,active,21,
b4c246b1abdc42b29b55f79895f0472a,BE,31,"Non-governmental organisations, platforms and networks and similar",ENAT,European Network for Accessible Tourism - ENAT asbl,3,,9999,,3.5,0,7964210133-55,active,21,
3a35d9c613134eba8c3d8d11da8ea260,IT,11,Professional consultancies,MEA,MISSAGLIAEASSOCIATI,1,50000,99999,,0.5,0,5416424127-43,active,108,
bf4e0b9125ef4c7b9c04a764612527d8,DE,25,Trade and business organisations,bpt,Bundesverband Praktizierender Tierärzte e. V.,2,,9999,,2,0,0848810260-78,active,82,
440649f6618041f5b15b408de52b3782,DE,25,Trade and business organisations,VDIK,Verband der Internationalen Kraftfahrzeughersteller e.V.,2,,9999,,0.75,0,8763303252-70,active,82,
ba99aac057804d5bbd24dc2bf68565c2,DE,25,Trade and business organisations,VAB,Verband der Auslandsbanken in Deutschland e.V. / Association of Foreign Banks in Germany,2,10000,24999,,0.5,0,95840804-38,active,82,
d26a1be4239145f0ba22a694bee3491c,BE,25,Trade and business organisations,,European Aluminium AISBL,2,600000,699999,,4.5,7,9224280267-20,active,21,
c981575f1f0f411eac552b715a8a97de,BE,25,Trade and business organisations,Europêche,Association of National Organisations of Fishing Enterprises in the European Union,2,200000,299999,,1,2,2312395253-25,active,21,
0c01ce89a39e483d9f5ca20f4809e0cd,BE,25,Trade and business organisations,CLECAT,"CLECAT - European association for forwarding, transport, logistic and Customs services",2,500000,599999,,4,2,684985491-01,active,21,
542e98e295bf4a9bab139f1289c17112,BE,31,"Non-governmental organisations, platforms and networks and similar",UCEE,UNIONE CAMERE ESPERTI EUROPEI,3,25000,49999,,2,1,644245448-07,active,21,
44f7595e27334883a7a0a1e8a3c0f1f8,DE,66,"Other public or mixed entities, created by law whose purpose is to act in the public interest",BADK,Bundesarbeitsgemeinschaft Deutscher Kommunalversicherer,6,,,115000,1,0,4029997261-81,active,82,
677c86b12fbe41ae8e05dcf37c1e7a9d,DE,25,Trade and business organisations,VBI,Verband Beratender Ingenieure,2,,,70000,0.75,1,0799783242-33,active,82,
377e4628700845b58f2edfbd150d9fec,BE,31,"Non-governmental organisations, platforms and networks and similar",ESPA,European Spas Association,3,100000,199999,,2,0,8396633235-24,active,21,
e84bf641ddcc426c94a025e7e75bc426,DE,25,Trade and business organisations,CCV e.V.,Call Center Verband Deutschland e.V. (CCV),2,10000,24999,,0.25,0,4824532206-80,active,82,
6fd269a35a854abbacdaac6e4c0e3a3a,DE,25,Trade and business organisations,bne,Bundesverband Neue Energiewirtschaft e.V. / Association of Energy Market Innovators,2,50000,99999,,1.25,0,3394645201-03,active,82,
873eace1b47645398b11b9d1a7d2fa82,SE,21,Companies & groups,,Electrolux Home Products,2,300000,399999,,2,0,3444341114-03,active,214,
e6d7c4fbd6d645469c9ebb8222b2182b,BE,31,"Non-governmental organisations, platforms and networks and similar",ANEC,European Association for the Co-ordination of Consumer Representation in Standardisation,3,50000,99999,,3.75,4,507800799-30,active,21,
d5dfc792c81e497ca127f2ddb6e87e48,IT,21,Companies & groups,,ENEL SpA,2,2000000,2249999,,6.25,8,6256831207-27,active,108,
