id,contact_country,sub_category,acronym,name,main_category,cost_min,cost_max,cost_absolute
fffebd3272294bb0a38d0347b0e0c4df,59,22,BAT,"Bygge-, Anlægs- og Trækartellet",2,,,150000
ffdb86d0032b4bdf8682ff4cc908bf48,108,31,WMI,Associazione Wikimedia Italia,3,,9999,
ffaa55befc9b477bb35bd635bf458c3c,108,22,,CONFAGRICOLTURA EMILIA-ROMAGNA,2,10000,24999,
ff919bf968eb498bb7af62a1494a49d1,39,31,Michel Abdelahad,Michel Abdelahad,3,,9999,
ff802d6280874fb08e132d662e46f18e,108,22,FIPI,FEDERAZIONE ITALIANA PICCOLE IMPRESE,2,,9999,
ff724deeeaf8408a9ff65a58e605d552,105,31,IDEA,Irish Doctors Environmental Association,3,,9999,
ff6ce8c03aee44788ce83a6544cdbb4c,82,22,EUROM,"European Federation of Precision, Mechanical and Optical Industries",2,,9999,
ff6ba0bcb497410fa406c9794206bf37,177,31,ECNAIS,European Council of National Associations of Independent Schools,3,,9999,
ff698260d45047178a5e8775547815bc,105,21,daa,daa plc,2,,9999,
ff5e850d10a34a8d9e0b6772f68050b2,82,51,SGI EBA,SGI Europe Buddhist Association,5,,9999,
ff3d3f236e4747af9fc50ff58ddb4377,233,31,MEC,Middle East Concern,3,,9999,
ff3855a7d5c54d27947ce7773f6b3357,82,21,EWE AG,EWE Aktiengesellschaft,2,700000,799999,
ff2dcae924f245828146c2bb86178fde,21,13,,,1,,,0
ff0fb4adff974d2aa5b69dae56b23639,209,11,,"Deloitte, S.L.",1,10000,24999,
ff04fc2f7330408a9b773b91b8272c86,21,31,EFQM,EFQM European Foundation for Quality Management,3,,,3605000
fefa665da246486fa7b4d6f8fd7a3c5a,234,21,,YCF Maritime LLC,2,,9999,
feed2f70644144b48b258eafe5efae0c,82,22,BfT,Bundesverband fuer Tiergesundheit,2,,9999,
feec5f95637641aa83f9fa5076cd259d,59,22,DEA,Danish Electric Vehicle Alliance,2,,9999,
fee73f7916f94c36b2f90c4e1b294a51,108,31,APK,Amigos do Protocolo de Kyoto,3,,9999,
fec76a9f6e224986b3edb9b89e8afad3,21,31,WFTO-Europe,World Fair Trade Organization - Europe,3,10000,24999,
feac8ce68d3142848d501f1bf11bf46a,59,22,DEA,Danish Energy Association / Dansk Energi,2,100000,199999,
fe9fe7b4dca6445292d9b4f9b3cdd91d,75,21,,RED TECHNOLOGIES,2,50000,99999,
fe91bcd9aa314020becd891956750847,82,21,TAG,Testo AG,2,,,1000000
fe7ec728dc594cb0a9db1d19e71929bf,155,22,KVNR,Royal Association Netherlands Shipowners,2,,9999,
fe74d1ef246942bb87645f304aa0f015,82,22,EDFA,Verband der Europäischen Bettfedern- und Bettwarenindustrie e.V.,2,,,20000
fe684917467046d28a16eb692c077bb7,111,41,,The Tokyo Foundation,4,,9999,
fe5e9e24ed1d46ee97983b4c73b8da82,82,31,bvek,Bundesverband Emissionshandel und Klimaschutz,3,,9999,
