"id","contact_country","sub_category","sub_category_title","acronym","name","main_category","main_category_title","identification_code","members_fte","status"
"fffe845dbb604fe794890312d03868ac",,64,"Other sub-national public authorities","CIMAC","CIMAC - Comunidade Intermunicipal do Alentejo Central",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","500380914172-16",1.5,"active"
"fffba536f02841128b838082e3dafec4",,21,"Companies & groups",,"Nordzucker AG",2,"II - In-house lobbyists and trade/professional associations","30193137861-16",0.25,"active"
"fff778117a8b4d6bb799713c4c614471",,41,"Think tanks and research institutions","SINTEF","Stiftelsen SINTEF",4,"IV - Think tanks, research and academic institutions","48626096030-87",3.75,"active"
"ffecdcf604434b298b6a45c96b41df9d",,25,"Trade and business organisations","UNESID","Unión de Empresas Siderúrgicas",2,"II - In-house lobbyists and trade/professional associations","44209611834-88",1,"active"
"ffeb5f9912da41d09e46448f2dec3b7d",,31,"Non-governmental organisations, platforms and networks and similar","SN","Salzburger Nachrichten Verlagsgesellschaft m.b.H. & CoKG",3,"III - Non-governmental organisations","895102222358-48",0.25,"inactive"
"ffe24ca69ee74f4eb0e58238431f9290",,26,"Trade unions and professional associations","FEVAD","fédération du e-commerce et de la Vente à Distance",2,"II - In-house lobbyists and trade/professional associations","593189717041-50",2.75,"active"
"ffde83079ce4467a8c6fb3ae688c4e9c",,11,"Professional consultancies","VDI ZRE","VDI Zentrum Ressourceneffizienz GmbH",1,"I - Professional consultancies/law firms/self-employed consultants","020913814813-03",0.25,"active"
"ffdb545786bc4e429d80cff5c44db82a",,21,"Companies & groups",,"Trina Solar (Schweiz) AG",2,"II - In-house lobbyists and trade/professional associations","37544129782-90",0.25,"active"
"ffcf8cce053c493fba0a4b1a779c2a4c",,21,"Companies & groups","Eurofiber","Eurofiber Holding",2,"II - In-house lobbyists and trade/professional associations","762465118754-84",0.5,"active"
"ffcd2f02148945679f402dfbe1e6bb46",,25,"Trade and business organisations","AEI CIBERSEGURIDAD","AGRUPACIÓN EMPRESARIAL INNOVADORA EN CIBERSEGURIDAD Y TECNOLOGIAS AVANZADAS",2,"II - In-house lobbyists and trade/professional associations","800121221087-36",1,"active"
"ffcc0bd8c5634e52a9dee3189a9c055a",,31,"Non-governmental organisations, platforms and networks and similar","EFRAG","European Financial Reporting Advisory Group",3,"III - Non-governmental organisations","94498979430-30",,"inactive"
"ffca7bed854c43beae022c74242613ff",,26,"Trade unions and professional associations","NAK","Nemzeti Agrárgazdasági Kamara",2,"II - In-house lobbyists and trade/professional associations","825093521837-52",7,"active"
"ffbec7970364474fadb1f11937169d3a",,25,"Trade and business organisations","AEDE","Asociación de Editores de Diarios Españoles",2,"II - In-house lobbyists and trade/professional associations","179806020036-07",0.5,"active"
"ffbe90bc1e6447cb853efbc05446ce67",,31,"Non-governmental organisations, platforms and networks and similar",,"Versicherungsombudsmann e. V.",3,"III - Non-governmental organisations","917708323110-38",45,"active"
"ffb4e60712084e32b31ca0853c6c6b15",,31,"Non-governmental organisations, platforms and networks and similar","AEJE","Association Européene des Jeunes Entrepreneurs",3,"III - Non-governmental organisations","97267747305-70",,"inactive"
"ffb42c598c6e423190e09e08c2b0d39c",,31,"Non-governmental organisations, platforms and networks and similar","Infoterm","International Information Centre for Terminology",3,"III - Non-governmental organisations","97653128762-13",1,"active"
"ffb37fc794b742aba2065b1baab346c4",,31,"Non-governmental organisations, platforms and networks and similar",,"The Synergist",3,"III - Non-governmental organisations","124199721696-11",1.25,"active"
"ffac59719b5749bd9bcc0c3dd0583596",,62,"Other public or mixed entities, etc.","WNO / OMN","World Nature Organization / Organisation Mondiale de la Nature",6,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","041029110678-48",,"inactive"
"ffac4de7bd3940be83cbce3301eb0a0f",,31,"Non-governmental organisations, platforms and networks and similar","TACEV","DENIZLI TARIHI VE DOGAL CEVREYI KORUMA VE YASATMA DERNEGI",3,"III - Non-governmental organisations","79591193520-35",,"inactive"
"ffa6a4b67758462381867452fb1679c2",,31,"Non-governmental organisations, platforms and networks and similar","AAPLCLZO","Associcação dos Armadores da Pesca Costeira e Largo da Zona Oeste",3,"III - Non-governmental organisations","03691742160-38",0.25,"active"
"ff9cc613f7904e30a4da6c157e99d3f0",,11,"Professional consultancies","Esmo","Esmo",1,"I - Professional consultancies/law firms/self-employed consultants","70148528641-50",0.25,"inactive"
"ff9bb8c0be1a472884d8f3f50482e150",,21,"Companies & groups","AZ","AstraZeneca",2,"II - In-house lobbyists and trade/professional associations","42561875992-94",2.25,"active"
"ff95ccaca75b4c2f80f12b87efeb4646",,31,"Non-governmental organisations, platforms and networks and similar",,"Nordwestdeutscher Forstverein",3,"III - Non-governmental organisations","656366517598-31",0.5,"active"
"ff93fc136bab47f38a11349d1d6c0d18",,42,"Academic institutions","Coordo PACA","coordination régionale PACA de la formation continue du Supérieur",4,"IV - Think tanks, research and academic institutions","67581824832-93",,"inactive"
"ff826749df3546de8a8d80c225d00560",,11,"Professional consultancies","ADRICON","ADRICON",1,"I - Professional consultancies/law firms/self-employed consultants","798075613569-22",,"inactive"
"ff8234f99fc14335813ff655967304b7",,25,"Trade and business organisations","IECA","Instituto Español del Cemento y sus Aplicaciones",2,"II - In-house lobbyists and trade/professional associations","931124314335-26",0.25,"active"
"ff7bfb10d0a34e75aa36a6e522a97c5a",,25,"Trade and business organisations","CFO Forum","European Insurance CFO Forum",2,"II - In-house lobbyists and trade/professional associations","675175020517-52",0.25,"active"
"ff76c79fb1c74f3c8c6283b95d3cd772",,25,"Trade and business organisations","IBVTA","Independent British Vape Trade Association",2,"II - In-house lobbyists and trade/professional associations","605601121969-19",1,"active"
"ff7346bf5e1e43a099eae636b55fa32c",,42,"Academic institutions","ANMB","Academia Navala ""Mircea cel Batran""",4,"IV - Think tanks, research and academic institutions","729042020325-62",8,"inactive"
"ff6ed5eb4d18482a9fb64d84bfbb23a2",,21,"Companies & groups","POLPX","Towarowa Giełda Energii S.A. / Polish Power Exchange S.A.",2,"II - In-house lobbyists and trade/professional associations","070357813063-97",1,"active"
