Name,Country,Political_group,Party,Institution,Previous_position,New_position,Category_activity,Link_profile,Link_source,Description,Paid_unpaid,Date,Answers,Certified
Claudette ABELA BALDACCHINO,Malta,S&D,Labour Party (2013–),European Parliament,MEP,"In 2012 was charged together with five others for allegedly over-claiming some €96,000 in travel expenses from the European Commission in 2004-07, when they served as local councillors. On the 24 April he was elected to replace Louis Grech and Edward Scicluna (Malta). She is now member of the Committe of Regions (according to LinkedIn). ",Elected office & public sector,,,,,,,
János ÁDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,President of Hungary,Elected office & public sector,,http://www.keh.hu/president_janos_ader/1582-Curriculum_vitae_of_Janos_Ader,,,,,TI-CY
Gabriele ALBERTINI,Italy,EPP,0,European Parliament,MEP,Senator from 2013 in Italy,Elected office & public sector,,,,,,,
Sonia ALFANO,Italy,ALDE,0,European Parliament,MEP,President of the Italian Anti/ mafia commission,Elected office & public sector,,,,,,,
François ALFONSI,France,Greens-EFA,Party of the Corsican Nation,European Parliament,MEP,"President of the European Free Alliance, since 2014",Elected office & public sector,,http://www.e-f-a.org/whos-who/president/,,,,,Raph 
Magdi Cristiano ALLAM,Italy,EPP,0,European Parliament,MEP,Journalist,Media,http://www.europarl.europa.eu/meps/en/96992/MAGDI+CRISTIANO_ALLAM_home.html,,,,,,
Magdalena ALVAREZ,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Left the EP in order to become Vice-President of the European Investment Bank. She quit in 2014 because she was charged for misappropriation of public funds,Unknown,,,Interesting,,,Very unclear what her current occupation is ,Raphael 
Alexander ALVARO,Germany,ALDE,Free Democratic Party,European Parliament,MEP,"Self-employed Advisor for the Digital Agenda, Data Protection and EU Affairs.",Brussels-focussed lobbying,,https://www.linkedin.com/in/alexander-alvaro-131321a7,https://www.thelocal.de/20140403/vp-of-parliament-charged-with-manslaughter,,,,Raphael 
Luís Paulo ALVES,Portugal,S&D,Socialist Party,European Parliament,MEP,"Manager of UNILEITE, a union of the milk producers in San Miguel Isle",Private Sector,,,,,,,
Amelia ANDERSDOTTER,Sweden,Greens-EFA,Pirate Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Marta ANDREASEN,United Kingdom,ECR,Conservative Party[1],European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael 
Josefa ANDRÉS BAREA,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Deputy Les Corts Valencianes ,Elected office & public sector,,,,,,,
Roberta ANGELILLI,Italy,EPP,0,European Parliament,MEP,Regional Coordinator Nuovo Centro Destra (political party),Elected office & public sector,,,,,,,
Charalampos ANGOURAKIS,Greece,GUE/NGL,KKE,European Parliament,MEP,Died in 2014,Deceased,,,,,,,
Antonello ANTINORO,Italy,EPP,0,European Parliament,MEP,Currently prosecuted for vote-trading in exchange for money in the regional elections in 2008. ,Prison,,,,,,,
Elena Oana ANTONESCU,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Alfredo ANTONIOZZI,Italy,EPP,0,European Parliament,MEP,Member of the Board of directors of ENEL since May 2015,Private Sector,,,,,,,
Pablo ARIAS ECHEVERRÍA,Spain,EPP,People's Party,European Parliament,MEP,Member of the Administrative Council of Telemadrid,Private Sector,,,,,,,
Kader ARIF,France,S&D,Socialist Party,European Parliament,MEP,On 21 November 2014 he resigned due to suspicion on fraud and opening of judicial inquiry. Currently Deputy of Haute-Girone,Elected office & public sector,,,,,,,
Pino ARLACCHI,Italy,ALDE,0,European Parliament,MEP,Professor and writer,Academic,,,,,,,
Kriton ARSENIS,Greece,S&D,Independent,European Parliament,MEP,Founder of Road Free initiative (forest protection),NGO,,,,,,,
Sir Robert ATKINS,United Kingdom,ECR,Conservative Party,European Parliament,MEP,President of Preston Conservative Association ,NGO,,,,,,,
John ATTARD-MONTALTO,Malta,S&D,Labour Party,European Parliament,MEP,Lawyer for Saga Juris Advocates (Malta),Lawyer,,,,,,,
