Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
1,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Member of the Board of Directors of Nyrstar,Private Sector,Company and Group,Yes,8,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Viviane_Reding_%28Martin_Rulsch%29_01.jpg/330px-Viviane_Reding_%28Martin_Rulsch%29_01.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=202136122160-22,,,"provided that Ms REDING respected Article 339 of the Treaty on the Functioning of the European Union and that, within the 18 months after ceasing to hold office, she abstained from lobbying and defending Nyrstar's interests to the Commission ",,,,29/10/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/4/annex%20ii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/4/annex%20i.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf
2,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Member of the Supervisory Board of the Bertelsmann Foundation,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=13571025706-27,,,"provided that Ms REDING avoided any conflicts of interest incompatible with the Code of Conduct for Commissioners in particular when projects of the Bertelsmann Foundation involved requesting and/or obtaining Community cofinancing and that, within the 18 months after ceasing to hold office, she abstained from lobbying and defending the Foundation's interests to the Commission; ",paid  ,,,29/10/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/4/annex%20ii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/4/annex%20i.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf
3,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Speaker for Premium Speakers Deutschland and Celebrity Speakers UK ,Other,Self-employed,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that she fulfilled her obligations under Articles 245 and 339 TFEU and the Code of Conduct for Commissioners, including protection of confidentiality and collective responsibility in respect of matters covered by the Commission during her three terms of office, and eschewed any activity that might conflict with her duties of integrity and discretion; ",,,,16/12/2014,"no, because it was similar to the role authorised for Barroso in November 2014, and this should be authorised on the same terms",http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1695/response/6138/attach/3/annexes.Democratic Partyf
4,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",MEP,Public Service,Elected office,No,,http://www.europarl.europa.eu/meps/en/1185/VIVIANE_REDING_home.html,,No,,,,No authorisation required,paid  ,,,- ,no,,
5,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Member of the Honorary Council of the European Movement International ,NGO,NGO,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2126-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=35279857524-58,,,No authorisation required,,,,- ,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2126-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2029/response/7132/attach/2/annexes.Democratic Partyf
6,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Member of the Advisory Board of the Global Economic Symposium ,Other,Other,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Pdf,,No,,,,"Provided that she demonstrated integrity and discretion in all circumstances, that she protected collective responsibility and the confidentiality of issues handled by the Commission during her three terms of office as a Member of the Commission, and that she refrained from lobbying the Commission and/or its departments on behalf of the Global Economic Symposium and/or in the interests of related bodies during the 18 months after she left office. ",,,,18/2/2015,no,,http://www.asktheeu.org/en/request/1821/response/6499/attach/3/annexes.Democratic Partyf
7,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Member of the Board of the UEFA Foundation for Children ,NGO,NGO,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"reminded Mr FÜLE  of  the  obligations  he  remained  under, concerning  the  protection  of  collective  responsibility  and  confidentiality  of the  matters  dealt  with  by  the  Commission  during  his  term  of  office  in accordance with Articles245(2) and 339 of the TFEU",unpaid,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1695/response/6138/attach/3/annexes.Democratic Partyf
8,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Member of the Board of Directors of Agfa-Gevaert ,Private Sector,Company and Group,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,No,,,,providing Ms REDING respected Article 339 TFEU and she abstained from lobbying or defending the interests of the company in question to the Commission for 18 months after leaving the Commission. ,paid  ,,,10/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf
10,Tonio Borg,Malta,EPP,Nationalist Party,European Commission,Commissioner for Health,Representative of the European Parliament on the Management Board of the European Medicines Agency,Public Service,Public sector,No,2,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2165-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tonio_Borg_%28cropped%29.jpg/330px-Tonio_Borg_%28cropped%29.jpg,No,,,,provided  that  Mr BORG  acted  in  all  circumstances  with integrity  and  discretion  in  respect  of  experience  and  knowledge  gained either directly or indirectly during his term of office,?,,,20/4/2016,?,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2165-EN-F1-1.Democratic PartyF,
11,Tonio Borg,Malta,EPP,Nationalist Party,European Commission,Commissioner for Health,Lecturer in public law at University of Malta,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.PdF,,No,,,,"On 17/9/15, Borg told CEO:  “I had applied fro leave without pay from the University of Malta as soon as I was appointed Commissioner  in Nov 2012; this request was granted: as soon as I finished my term as Commissioner, I resumed my duties, as it was my right to do so.” He later appears to have applied for authorisation for this role, which was provided",paid  ,,,14/10/2015,?,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2352/response/8384/attach/2/annexes.Democratic Partyf
