Name,ID
Damien ABAD,96850
Claudette ABELA BALDACCHINO,118860
János ÁDER,96659
John Stuart AGNEW,96897
Gabriele ALBERTINI,28367
Jan Philipp ALBRECHT,96736
Sonia ALFANO,97086
François ALFONSI,96750
Magdi Cristiano ALLAM,96992
Magdalena ALVAREZ,97024
Alexander ALVARO,28246
Luís Paulo ALVES,96976
Amelia ANDERSDOTTER,108570
Martina ANDERSON,113959
Marta ANDREASEN,96954
Josefa ANDRÉS BAREA,96986
Eric ANDRIEU,113892
Laima Liucija ANDRIKIENĖ,28276
Roberta ANGELILLI,1941
Charalampos ANGOURAKIS,99419
Antonello ANTINORO,97193
Elena Oana ANTONESCU,96702
Alfredo ANTONIOZZI,28422
Pablo ARIAS ECHEVERRÍA,96808
Kader ARIF,28137
Pino ARLACCHI,97228
Kriton ARSENIS,97009
Richard ASHWORTH,28132
Sir Robert ATKINS,4537
John ATTARD-MONTALTO,23938
Sophie AUCONIE,96862
Jean-Pierre AUDY,33775
Margrete AUKEN,28161
Inés AYALA SENDER,28292
Liam AYLWARD,28114
Pilar AYUSO,4319
Johannes Cornelis van BAALEN,96937
Georges BACH,97293
Maria BADIA i CUTCHET,28342
Zoltán BAGÓ,23813
Zigmantas BALČYTIS,96680
Zoltán BALCZÓ,96877
Raffaele BALDASSARRE,96757
Marino BALDINI,119439
Burkhard BALZ,96997
Francesca BALZANI,96979
Erik BÁNKI,113883
Giovanni BARBAGALLO,123792
Michel BARNIER,72776
Francesca BARRACCIU,116823
Paolo BARTOLOZZI,21818
Elena BĂSESCU,96814
Regina BASTOS,5956
Gerard BATTEN,28497
Dominique BAUDIS,1759
Edit BAUER,23866
Catherine BEARDER,96955
George BECALI,96846
Christophe BÉCHU,97002
Heinz K. BECKER,107041
Bas BELDER,4507
Ivo BELET,28257
Sandrine BÉLIER,96738
Malika BENARAB-ATTOU,96732
Bendt BENDTSEN,96705
Jean-Luc BENNAHMIAS,28214
Phil BENNION,112014
Pervenche BERÈS,1985
Sergio BERLATO,4746
Luigi BERLINGUER,97156
Thijs BERMAN,28174
Nora BERRA,96947
Fabrizio BERTOT,118709
Jean-Paul BESSET,96699
Jean-Jacob BICEP,113891
Adam BIELAN,23788
Izaskun BILBAO BARANDICA,96922
Slavi BINEV,38610
Lothar BISKY,96650
Mara BIZZOTTO,97198
Vilija BLINKEVIČIŪTĖ,96681
Godfrey BLOOM,28513
Sebastian Valentin BODU,39722
Reimer BÖGE,1037
Lajos BOKROS,96878
Franco BONANINI,118710
Vito BONSIGNORE,29074
Louis BONTES,96893
Mario BORGHEZIO,21817
Preslav BORISSOV,116816
Rita BORSELLINO,96916
Piotr BORYS,96799
Biljana BORZAN,112748
Victor BOŞTINARU,39711
Philippe BOULLAND,105624
José BOVÉ,96744
Sharon BOWLES,33570
Emine BOZKURT,28171
Philip BRADBOURN,4540
Franziska Katharina BRANTNER,96662
Arkadiusz Tomasz BRATKOWSKI,111126
Frieda BREPOELS,28463
Hiltrud BREYER,1059
Jan BŘEZINA,28354
Elmar BROK,1263
Andrew Henry William BRONS,96749
Zuzana BRZOBOHATÁ,96716
John BUFTON,96798
Udo BULLMANN,4267
Zdravka BUŠIĆ,119438
Cristian-Silviu BUŞOI,38420
Simon BUSUTTIL,28120
Reinhard BÜTIKOFER,96739
Jerzy BUZEK,28269
Milan CABRNOCH,28324
Alain CADEC,96849
Martin CALLANAN,4536
Wim van de CAMP,96754
David CAMPBELL BANNERMAN,96912
Antonio CANCIAN,96733
Pascal CANFIN,96711
Luis Manuel CAPOULAS SANTOS,28311
Salvatore CARONNA,96866
Maria Da Graça CARVALHO,96867
David CASA,28122
Michael CASHMAN,4532
Carlo CASINI,988
Daniel CASPARY,28219
Françoise CASTEX,28148
Pilar del CASTILLO VERA,28390
Jean-Marie CAVADA,28206
Alejandro CERCAS,4337
Andrea ČEŠKOVÁ,96719
Jorgo CHATZIMARKAKIS,28243
Giles CHICHESTER,2097
Nessa CHILDERS,96603
Nikolaos CHOUNTIS,26851
Ole CHRISTENSEN,28154
Nikos CHRYSOGELOS,111823
Philip CLAEYS,24030
Derek Roland CLARK,28493
Minodora CLIVETI,113597
Yves COCHET,1202
Carlos COELHO,1892
Sergio Gaetano COFFERATI,96915
Daniel COHN-BENDIT,1934
Birgit COLLIN-LANGEN,112788
Giovanni COLLINO,97195
Trevor COLMAN,94283
Lara COMI,96775
Anna Maria CORAZZA BILDT,96674
Marije CORNELISSEN,96726
María Auxiliadora CORREA ZAMORA,111496
António Fernando CORREIA DE CAMPOS,96975
Ricardo CORTÉS LASTRA,96987
Silvia COSTA,96917
Emer COSTELLO,112071
Jean Louis COTTIGNY,2315
Andrea COZZOLINO,96880
Michael CRAMER,28238
Corina CREȚU,33997
Jürgen CREUTZMANN,96873
Rosario CROCETTA,96886
Tarja CRONBERG,107973
Brian CROWLEY,2109
Joaquim CRUZ,124527
Joseph CUSCHIERI,110984
George Sabin CUTAȘ,96856
Tadeusz CYMAŃSKI,96786
Ryszard CZARNECKI,28372
Frédéric DAERDEN,97125
Peter van DALEN,96809
Viorica DĂNCILĂ,95281
Spyros DANELLIS,99325
Arnaud DANJEAN,96747
Michel DANTIN,97296
William (The Earl of) DARTMOUTH,96958
Rachida DATI,72775
Joseph DAUL,4342
Mário DAVID,96973
Chris DAVIES,4554
Francesco DE ANGELIS,96887
Philippe DE BACKER,109337
Bairbre de BRÚN,28511
Paolo DE CASTRO,96891
Jean-Luc DEHAENE,28256
Véronique DE KEYSER,22097
Karima DELLI,96868
Anne DELVAUX,96914
Luigi de MAGISTRIS,97129
Susy DE MARTINI,118708
Mark DEMESMAEKER,117477
