ID,Name,Country,Political_group,Party,Institution,Previous_position,New_position,category_new_position,category_bar,brussel_lobbying,total_activities,Link_source,Link_profile,on_JTR,Link_picture,Comments,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register,Number of activities 
17,Viviane Reding,Luxembourg,EPP,Christian Social People's Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",MEP; Board Member of Nyrstar,Private Sector,Company and Group,Yes,9,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Pdf,,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Viviane_Reding_%28Martin_Rulsch%29_01.jpg/330px-Viviane_Reding_%28Martin_Rulsch%29_01.jpg,,,"provided that Ms REDING respected Article 339 of the Treaty on the Functioning of the European Union and that, within the 18 months after ceasing to hold office, she abstained from lobbying and defending Nyrstar's interests to the Commission ",,,,29/10/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/4/annex%20ii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/4/annex%20i.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=202136122160-22,
20,Tonio Borg,Malta,EPP,Nationalist Party,European Commission,Commissioner for Health,Representative of the EP on the management board of the European Medicines Agency,Public Sector,Public Sector,No,2,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2165-EN-F1-1.PdF,,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tonio_Borg_%28cropped%29.jpg/330px-Tonio_Borg_%28cropped%29.jpg,,,provided  that  Mr BORG  acted  in  all  circumstances  with integrity  and  discretion  in  respect  of  experience  and  knowledge  gained either directly or indirectly during his term of office,?,,,20/4/2016,?,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2165-EN-F1-1.Democratic PartyF,,,
26,Štefan Füle ,Czech Republic,S&D,Czech Social Democratic Party,European Commission,Commissioner for Enlargement and European Neighbourhood Policy,Special representative of the OSCE ,Public Sector,Public Sector,No,6,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.PdF,,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Stefan_File.jpg/330px-Stefan_File.jpg,,,"reminded Mr FÜLE  of  the  obligations  he  remained  under, concerning  the  protection  of  collective  responsibility  and  confidentiality  of the  matters  dealt  with  by  the  Commission  during  his  term  of  office  in accordance with Articles245(2) and 339 of the TFEU",,,,19/1/2016,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.Democratic PartyF,,,
29,Siim Kallas,Estonia,ALDE,Estonian Reform Party,European Commission,Commissioner for Transport,Consultant for Nortal ,Private Sector,Company and Group,Yes,5,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PdF,,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Siim_Kallas%2C_arvamusfestival_2014_%282%29.jpg/330px-Siim_Kallas%2C_arvamusfestival_2014_%282%29.jpg,,,"On the condition that you abide by your obligations stipulated in Articles 245 and 339 of the TFEU and in the Code of Conduct for Commissioners, namely that you behave, in all circumstances, with integrity and discretion, that you protect the collegiality and confidentiality of the matters dealt with by the Commission during your mandates and that you refrain from lobbying the Commission and/or its services, for Nortal, during eighteen months after the end of your mandate ",paid  ,,,22/4/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1947/response/7005/attach/2/annexes.Democratic Partyf,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=641536622019-91,
33,Olli Rehn,Finland,ALDE,Centre Party,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,Minister for Economic Affairs; MP,Public Sector,Elected office,No,4,,,No,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Olli_Rehn_by_Moritz_Kosinsky_2.jpg/330px-Olli_Rehn_by_Moritz_Kosinsky_2.jpg,,,No authorisation required,paid  ,,,29/5/2015,no,,,,
35,Nelli Feroci,Italy,EPP,???,European Commission,Commissioner for Industry and entrepreneurship,Chair of the Board of Directors of Simest ,Private Sector,Company and Group,No,2,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Pdf,,No,,,,,,,,29/10/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/7/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf,,
39,Neelie Kroes,Netherlands,ALDE,People's Party for Freedom and Democracy,European Commission,Commissioner for Digital agenda,Member advisory Board of Uber,Private Sector,Company and Group,Yes,5,http://www.asktheeu.org/en/request/neelie_kroes_uber#incoming-9774,,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Neelie_Kroes.jpg/375px-Neelie_Kroes.jpg,,,No authorisation required as 18 month authorisation and lobby ban has now ended,paid in shares,,,- ,?,http://www.asktheeu.org/en/request/neelie_kroes_uber#incoming-9774,http://corporateeurope.org/revolvingdoorwatch/cases/neelie-kroes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=002278013515-26,
45,Michel Barnier,France ,EPP,Union for a Popular Movement,European Commission,Commissioner for Economic and Monetary Affairs and the Euro,Chief Negotiator for BREXIT,Public Sector,Public Sector,No,4,?,,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Barnier%2C_Michel-9568.jpg/330px-Barnier%2C_Michel-9568.jpg,,,?,,,,?,?,?,? ,,
46,Martine Reicherts,Luxembourg,S&D,Luxemburg Socialist Workers Party,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship",Director-general of Education and Culture at the European Commission,Public Sector,Public Sector,No,1,,,No,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Martine_Reicherts.jpg/399px-Martine_Reicherts.jpg,,,No authorisation required,paid  ,,,1/11/2014,no,,,,
48,Maria Damanaki,Greece,S&D,Panhellenic Socialist Movement,European Commission,Commissioner for Maritime affairs and fisheries,Global Managing Director for Oceans at The Nature Conservancy ,NGO,NGO,Yes,2,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Pdf,,Yes,https://upload.wikimedia.org/wikipedia/commons/8/80/Maria_Damanaki.jpg,,,provided Ms DAMANAKI abstained from lobbying the Commission and its departments on any issues with a potential link to her former portfolio on fisheries and maritime affairs for 18 months after leaving the Commission. ,paid  ,,,13/1/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1708/response/6322/attach/3/annex.Democratic Partyf + http://www.asktheeu.org/en/request/1708/response/6181/attach/2/annexes.Democratic Partyf,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=116042012787-45,
49,Máire Geoghegan-Quinn,Ireland,ALDE,Fianna Fáil,European Commission,"Commissioner for Research, Innovation and Science",Board Member of the Biomedical Sciences Institute at Trinity College (TBSI),Academia,University,No,3,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.PdF,,No,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/M%C3%A1ire_Geoghegan-Quinn_International_Year_of_Chemistry.jpg/330px-M%C3%A1ire_Geoghegan-Quinn_International_Year_of_Chemistry.jpg,,,"Providing Ms GEOGHEGAN-QUINN, for 18 months after leaving the Commission, (i) referred proactively to the internal rules of TBSI in order to refrain from participating in any dossiers concerning relations between TBSI and the European Commission and the programmes of the European Union, (ii) refrained from lobbying the Commission and/or its departments with regard to any financing requests from TBSI to the European Union, and (iii) ensured that none of TBSI's commercial partners, either current or potential, could unduly benefit from the knowledge and experience Ms GEOGHEGAN-QUINN gained during her term of office. ",“the role is non-remunerated but...”,,,16/9/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2293/response/8158/attach/2/2015%205055.Democratic Partyf,,
