num,term_office,committee,term_office1,meeting_id,subject,topic,person,affiliation,entity,abbreviation,NGO,c_industry,c_employers,c_trade,c_company,c_research,c_gov,c_parliament,c_public,c_autonomy,c_lobbyst,c_state,c_parks,c_foreign,c_other
1,V,OSZ,V,1,  - wyboru prezydium Komisji.  ,,Robert Madejski,,Biuro Komisji Sejmowych,Biuro Komisji Sejmowych,,,,,,,,1,,,,,,,
2,V,OSZ,V,2,"  - informacja ministra ?rodowiska na temat planowanych zamierze? resortu, ",,Jan Szyszko,Minister ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
3,V,OSZ,V,2,"  - zg?oszenie tematów do planu pracy Komisji na I pó?rocze 2006 r., ",,Jacek Jezierski,wiceprezes Najwy?szej Izby Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
4,V,OSZ,V,2,  - sprawy bie??ce. ,,,,,,,,,,,,,,,,,,,,
5,V,OSZ,V,3,  - pierwsze czytanie rz?dowego projektu ustawy o zmianie ustawy - Prawo wodne (druk nr 66).  ,,Andrzej Mizgajski z podsekretarzem stanu Teres? Warcha?owsk?,sekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
,,OSZ,V,3,,,,przedstawiciel Najwy?szej Izbie Kontroli,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
6,V,OSZ,V,3,,,,przedstawiciel Krajowej Rady Gospodarki Wodnej,Krajowa Rada Gospodarki Wodnej,KZGW,,,,,,,,,1,,,,,,
7,V,OSZ,V,4,  - projekt ustawy bud?etowej na 2006 r. (druki nr 20 i 20A) w zakresie:  ,,Andrzej Mizgajski ,sekretarz stanu w Ministerstwie ?rodowiska,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
8,V,OSZ,V,4,  1) cz??ci bud?etowej 22 - Gospodarka wodna ,,Zbigniew Dynak,podsekretarz stanu w Ministerstwie Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
9,V,OSZ,V,4,"  a) dochody i wydatki z za?. nr 1 i 2, ",,Janusz Stanis?awski,wiceprezes Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
,,OSZ,V,4,,,Kazimierz Kujda,wiceprezes Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
