committee,term_office1,meeting_id,subject,topic,person,affiliation,entity,abbreviation,NGO,c_industry,c_employers,c_trade,c_company,c_research,c_gov,c_parliament,c_public,c_autonomy,c_lobbyst,c_state,c_parks,c_foreign,c_other
OSZ,V,1,  - wyboru prezydium Komisji.  ,,Robert Madejski,,Biuro Komisji Sejmowych,Biuro Komisji Sejmowych,,,,,,,,1,,,,,,,
OSZ,V,2,"  - informacja ministra środowiska na temat planowanych zamierzeń resortu, 
  - zgłoszenie tematów do planu pracy Komisji na I półrocze 2006 r., 
  - sprawy bieżące.
",,Jan Szyszko,Minister Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,2,"  - informacja ministra środowiska na temat planowanych zamierzeń resortu, 
  - zgłoszenie tematów do planu pracy Komisji na I półrocze 2006 r., 
  - sprawy bieżące.
",,Jacek Jezierski,wiceprezes Najwyższej Izby Kontroli,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,3,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo wodne (druk nr 66).  ,,Andrzej Mizgajski z podsekretarzem stanu Teresą Warchałowską,sekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,3,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo wodne (druk nr 66).  ,,,przedstawiciel Najwyższej Izbie Kontroli,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,3,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo wodne (druk nr 66).  ,,,przedstawiciel Krajowej Rady Gospodarki Wodnej,Krajowa Rada Gospodarki Wodnej,KZGW,,,,,,,,,1,,,,,,
OSZ,V,4,"  - projekt ustawy budżetowej na 2006 r. (druki nr 20 i 20A) w zakresie:  
  1) części budżetowej 22 - Gospodarka wodna 
  a) dochody i wydatki z zał. nr 1 i 2, 

  b) gospodarstwa pomocnicze z zał. nr 4, 
  c) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11; 
  2) części budżetowej 41 - Środowisko 
  a) dochody i wydatki z zał. nr 1 i 2, 
  b) zakłady budżetowe, gospodarstwa pomocnicze z zał. nr 4, 
  c) dotacje podmiotowe z zał. nr 9, 
  d) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11;
",,Andrzej Mizgajski ,sekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,4,"  - projekt ustawy budżetowej na 2006 r. (druki nr 20 i 20A) w zakresie:  
  1) części budżetowej 22 - Gospodarka wodna 
  a) dochody i wydatki z zał. nr 1 i 2, 

  b) gospodarstwa pomocnicze z zał. nr 4, 
  c) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11; 
  2) części budżetowej 41 - Środowisko 
  a) dochody i wydatki z zał. nr 1 i 2, 
  b) zakłady budżetowe, gospodarstwa pomocnicze z zał. nr 4, 
  c) dotacje podmiotowe z zał. nr 9, 
  d) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11;
",,Zbigniew Dynak,podsekretarz stanu w Ministerstwie Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,4,"  - projekt ustawy budżetowej na 2006 r. (druki nr 20 i 20A) w zakresie:  
  1) części budżetowej 22 - Gospodarka wodna 
  a) dochody i wydatki z zał. nr 1 i 2, 

  b) gospodarstwa pomocnicze z zał. nr 4, 
  c) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11; 
  2) części budżetowej 41 - Środowisko 
  a) dochody i wydatki z zał. nr 1 i 2, 
  b) zakłady budżetowe, gospodarstwa pomocnicze z zał. nr 4, 
  c) dotacje podmiotowe z zał. nr 9, 
  d) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11;
",,Janusz Stanisławski,wiceprezes Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,V,4,"  - projekt ustawy budżetowej na 2006 r. (druki nr 20 i 20A) w zakresie:  
  1) części budżetowej 22 - Gospodarka wodna 
  a) dochody i wydatki z zał. nr 1 i 2, 

  b) gospodarstwa pomocnicze z zał. nr 4, 
  c) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11; 
  2) części budżetowej 41 - Środowisko 
  a) dochody i wydatki z zał. nr 1 i 2, 
  b) zakłady budżetowe, gospodarstwa pomocnicze z zał. nr 4, 
  c) dotacje podmiotowe z zał. nr 9, 
  d) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11;
",,Kazimierz Kujda,wiceprezes Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,V,4,"  - projekt ustawy budżetowej na 2006 r. (druki nr 20 i 20A) w zakresie:  
  1) części budżetowej 22 - Gospodarka wodna 
  a) dochody i wydatki z zał. nr 1 i 2, 

  b) gospodarstwa pomocnicze z zał. nr 4, 
  c) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11; 
  2) części budżetowej 41 - Środowisko 
  a) dochody i wydatki z zał. nr 1 i 2, 
  b) zakłady budżetowe, gospodarstwa pomocnicze z zał. nr 4, 
  c) dotacje podmiotowe z zał. nr 9, 
  d) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11;
",,Witoldem Łada ,wiceprezes Państwowej Agencji Atomistyki ,Państwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
OSZ,V,4,"  - projekt ustawy budżetowej na 2006 r. (druki nr 20 i 20A) w zakresie:  
  1) części budżetowej 22 - Gospodarka wodna 
  a) dochody i wydatki z zał. nr 1 i 2, 

  b) gospodarstwa pomocnicze z zał. nr 4, 
  c) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11; 
  2) części budżetowej 41 - Środowisko 
  a) dochody i wydatki z zał. nr 1 i 2, 
  b) zakłady budżetowe, gospodarstwa pomocnicze z zał. nr 4, 
  c) dotacje podmiotowe z zał. nr 9, 
  d) zatrudnienie i wynagrodzenia w państwowych jednostkach budżetowych z zał. nr 11;
",,,przedstawiciel Najwyższej Izby Kontroli.,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,5,"  - poprawki zgłoszone w drugim czytaniu rządowego projektu ustawy o zmianie ustawy - Prawo wodne (druki nr 66 i 112) oraz 
  - przyjęła plan pracy Komisji na I półrocze 2006 r.  
",,Andrzej Mizgajski,sekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,6,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo atomowe (druk nr 130).  ,,Mariuszem Jędrysek,podsekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,6,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo atomowe (druk nr 130).  ,,Jerzy Niewodniczański,prezes Państwowej Agencji Atomistyki ,Państwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
OSZ,V,7,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129).  ,,Teresa Warchałowska,podsekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,7,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129).  ,,Lech Płotkowski,zastępca prezesa Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,V,7,  - pierwsze czytanie rządowego projektu ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129).  ,,Wojciech Stawiany,główny inspektor ochrony środowiska,Główny Inspektor Ochrony Środowiska,GIOŚ,,,,,,,,,1,,,,,,
OSZ,V,8,"    - pierwsze czytanie rządowego projektu ustawy o ratyfikacji Porozumienia między Królestwem Belgii, Królestwem Danii, Republiką Federalną Niemiec, Irlandią, Republiką Włoską, Wielkim Księstwem Luksemburga, Królestwem Niderlandów, Europejską Wspólnotą Energii Atomowej i Międzynarodową Agencją Energii Atomowej dotyczącego wprowadzenia w życie artykułu III ustęp 1 i 4 Układu o nierozprzestrzenianiu broni jądrowej, podpisanego dnia 5 kwietnia 1973 r. w Brukseli (druk nr 107), 
  - pierwsze czytanie rządowego projektu ustawy o ratyfikacji Protokołu o przywilejach i immunitetach Europejskiej Organizacji Badań Jądrowych, podpisanego dnia 17 grudnia 2004 r. w Genewie (druk nr 106),  
",,Janusz Stańczyk,podsekretarz stanu w Ministerstwie Spraw Zagranicznych,Ministerstwo Spraw Zagranicznych,MSZ,,,,,,,1,,,,,,,,
OSZ,V,8,"    - pierwsze czytanie rządowego projektu ustawy o ratyfikacji Porozumienia między Królestwem Belgii, Królestwem Danii, Republiką Federalną Niemiec, Irlandią, Republiką Włoską, Wielkim Księstwem Luksemburga, Królestwem Niderlandów, Europejską Wspólnotą Energii Atomowej i Międzynarodową Agencją Energii Atomowej dotyczącego wprowadzenia w życie artykułu III ustęp 1 i 4 Układu o nierozprzestrzenianiu broni jądrowej, podpisanego dnia 5 kwietnia 1973 r. w Brukseli (druk nr 107), 
  - pierwsze czytanie rządowego projektu ustawy o ratyfikacji Protokołu o przywilejach i immunitetach Europejskiej Organizacji Badań Jądrowych, podpisanego dnia 17 grudnia 2004 r. w Genewie (druk nr 106),  
",,Mariusz Jędrysek,podsekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,8,"    - pierwsze czytanie rządowego projektu ustawy o ratyfikacji Porozumienia między Królestwem Belgii, Królestwem Danii, Republiką Federalną Niemiec, Irlandią, Republiką Włoską, Wielkim Księstwem Luksemburga, Królestwem Niderlandów, Europejską Wspólnotą Energii Atomowej i Międzynarodową Agencją Energii Atomowej dotyczącego wprowadzenia w życie artykułu III ustęp 1 i 4 Układu o nierozprzestrzenianiu broni jądrowej, podpisanego dnia 5 kwietnia 1973 r. w Brukseli (druk nr 107), 
  - pierwsze czytanie rządowego projektu ustawy o ratyfikacji Protokołu o przywilejach i immunitetach Europejskiej Organizacji Badań Jądrowych, podpisanego dnia 17 grudnia 2004 r. w Genewie (druk nr 106),  
",,Jerzy Niewodniczański,prezes Państwowej Agencji Atomistyki ,Państwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
OSZ,V,9,  - sprawozdanie podkomisji o rządowym projekcie ustawy o zmianie ustawy - Prawo atomowe (druk nr 130). ,,Jerzy Niewodniczański,prezes Państwowej Agencji Atomistyki ,Państwowa Agencja Atomistyki,PAA,,,,,,,,,1,,,,,,
OSZ,V,10,  - sprawozdanie podkomisji nadzwyczajnej o rządowym projekcie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129). ,,Teresa Warchałowska,podsekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,10,  - sprawozdanie podkomisji nadzwyczajnej o rządowym projekcie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129). ,,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,10,  - sprawozdanie podkomisji nadzwyczajnej o rządowym projekcie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129). ,,,przedstawiciel Najwyższej Izby Kontroli,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,V,10,  - sprawozdanie podkomisji nadzwyczajnej o rządowym projekcie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129). ,,Lech Płotkowski,zastępca prezesa Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,V,10,  - sprawozdanie podkomisji nadzwyczajnej o rządowym projekcie ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druk nr 129). ,,Wojciech Stawiany,główny inspektor ochrony środowiska ,Główny Inspektor Ochrony Środowiska,GIOŚ,,,,,,,,,1,,,,,,
OSZ,V,11,"rozpatrzenie poprawek zgłoszonych w drugim czytaniu rządowego projektu ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druki nr 129 i 241), 
  - sprawy różne.   ",,Teresa Warchałowska,podsekretarz stanu w Ministerstwie Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,11,"rozpatrzenie poprawek zgłoszonych w drugim czytaniu rządowego projektu ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druki nr 129 i 241), 
  - sprawy różne.   ",,, przedstawiciel Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,V,11,"rozpatrzenie poprawek zgłoszonych w drugim czytaniu rządowego projektu ustawy o zmianie ustawy - Prawo ochrony środowiska oraz niektórych innych ustaw (druki nr 129 i 241), 
  - sprawy różne.   ",,,przedstawiciel Urzędu Komitetu Integracji Europejskiej.,Urząd Komitetu Integracji Europejskiej,UKIE,,,,,,,,,1,,,,,,
OSZ,V,12,"  - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.    - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.  ",,,przedstawiciel Ministerstwa Środowiska,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,V,12,"  - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.    - Strategia Gospodarki Wodnej, przyjętej przez Radę Ministrów w dniu 13 września 2005 r., 
  - sprawy bieżące.  ",,,przedstawiciel Ministerstwa Finansów,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
